microkinetic_name,microkinetic_type,ligand_name,exp_yield,exp_error,min_of_max_barrier
main-2c-pph3,main,2c-pph3,0.008,0.0001,13.593425848642948
main-2d-potol3,main,2d-potol3,0.647,0.0333,14.426444789920223
main-2e-pipr3,main,2e-pipr3,0.035,0.0131,16.900401230835527
main-2f-pcpt3,main,2f-pcpt3,0.04,0.0091,15.331313576197413
main-2g-pcy3,main,2g-pcy3,0.036,0.028,16.3083459606487
main-2h-pcy2tbu,main,2h-pcy2tbu,0.1,0.0255,12.221376195276727
main-2i-ptbu2cy,main,2i-ptbu2cy,0.322,0.0127,17.137913599888474
main-2j-ptbu3,main,2j-ptbu3,0.907,0.0186,14.027615236857581
main-2k-pad3,main,2k-pad3,0.43,0.0466,13.973069132693348
main-3a-iprjohnphos,main,3a-iprjohnphos,0.085,0.0431,12.806481632452527
main-3b-phjohnphos,main,3b-phjohnphos,0.186,0.0007,14.673683556454444
main-3c-phdavephos,main,3c-phdavephos,0.089,0.0,15.490073494463292
main-3d-cyjohnphos,main,3d-cyjohnphos,0.106,0.0057,15.330999821311082
main-3e-cymephos,main,3e-cymephos,0.154,0.0276,15.322842196549317
main-3f-davephos,main,3f-davephos,0.209,0.0323,17.96308867129032
main-3g-sphos,main,3g-sphos,0.15,0.0029,17.96089238765671
main-3h-ruphos,main,3h-ruphos,0.11,0.0175,16.484048637640054
main-3i-xphos,main,3i-xphos,0.124,0.0278,15.791905592956338
main-3j-brettphos,main,3j-brettphos,0.063,0.0277,16.540524497775436
main-3k-tbujohnphos,main,3k-tbujohnphos,0.7,0.0155,14.892009655924435
main-3l-tbumephos,main,3l-tbumephos,0.448,0.0087,14.51649241147879
main-3m-tbudavephos,main,3m-tbudavephos,0.855,0.0277,17.723332791950607
main-3n-tbuxphos,main,3n-tbuxphos,0.829,0.0117,17.758834308774222
main-3o-tbubrettphos,main,3o-tbubrettphos,0.66,0.0833,21.073026051640287
main-3p-me4tbuxphos,main,3p-me4tbuxphos,0.343,0.0884,19.709447777351446
main-3q-adjohnphos,main,3q-adjohnphos,0.257,0.0009,14.960455425540006
main-3r-adbrettphos,main,3r-adbrettphos,0.252,0.0105,20.768322932517094
main-9a-cbujohnphos,main,9a-cbujohnphos,,,15.681416682840204
main-9b-cptjohnphos,main,9b-cptjohnphos,,,17.031503501011787
main-9c-etjohnphos,main,9c-etjohnphos,,,15.8797569308813
main-9d-mejohnphos,main,9d-mejohnphos,,,16.812816420002306
main-9e-pcbu3,main,9e-pcbu3,,,15.387742208252847
main-9f-pcpr3,main,9f-pcpr3,,,15.632157182236872
main-9g-pet3,main,9g-pet3,,,14.707255317877628
main-9h-pme3,main,9h-pme3,,,16.00834916310834
p1-2c-pph3,p1,2c-pph3,0.008,0.0001,13.593425848642948
p1-2e-pipr3,p1,2e-pipr3,0.035,0.0131,16.900401230835527
p1-2f-pcpt3,p1,2f-pcpt3,0.04,0.0091,15.331313576197413
p1-2g-pcy3,p1,2g-pcy3,0.036,0.028,16.3083459606487
p1-3a-iprjohnphos,p1,3a-iprjohnphos,0.085,0.0431,12.806481632452527
p1-3d-cyjohnphos,p1,3d-cyjohnphos,0.106,0.0057,15.330999821311082
p1-3k-tbujohnphos,p1,3k-tbujohnphos,0.7,0.0155,14.892009655924435
p1-9a-cbujohnphos,p1,9a-cbujohnphos,,,15.681416682840204
p1-9b-cptjohnphos,p1,9b-cptjohnphos,,,17.031503501011787
p1-9c-etjohnphos,p1,9c-etjohnphos,,,15.8797569308813
p1-9d-mejohnphos,p1,9d-mejohnphos,,,16.812816420002306
p1-9e-pcbu3,p1,9e-pcbu3,,,15.387742208252847
p1-9f-pcpr3,p1,9f-pcpr3,,,15.632157182236872
p1-9g-pet3,p1,9g-pet3,,,14.707255317877628
p1-9h-pme3,p1,9h-pme3,,,16.00834916310834
xa-3n-tbuxphos,xa,3n-tbuxphos,0.829,0.0117,17.758834308774222
xa-3o-tbubrettphos,xa,3o-tbubrettphos,0.66,0.0833,21.073026051640287
xa-3p-me4tbuxphos,xa,3p-me4tbuxphos,0.343,0.0884,19.709447777351446
xb-3n-tbuxphos,xb,3n-tbuxphos,0.829,0.0117,17.758834308774222
xb-3o-tbubrettphos,xb,3o-tbubrettphos,0.66,0.0833,21.073026051640287
xb-3p-me4tbuxphos,xb,3p-me4tbuxphos,0.343,0.0884,19.709447777351446
yayb-3j-brettphos,yayb,3j-brettphos,0.063,0.0277,16.540524497775436
