line,point,label_name,is_label,is_point,is_TS,vertical_alignment,vertical_offset,line_color,point_color,point_marker,reference_gibbs
0,0,[NaphB(OH)$_3$]$^-$,True,True,False,top,-1.5,darkred,darkred,o,0.0
0,1,TS0,True,True,True,top,-1.5,darkred,darkred,o,29.20805999046163
0,2,Naph-H + [OB(OH)$_2$]$^-$,True,True,False,top,-1.5,darkred,darkred,o,-10.525845363251836
0,3,Naph-H + [OB(OH)$_2$]$^-$ // Naph-H + [B(OH)$_4$]$^-$,False,True,True,top,-1.5,darkred,darkred,x,-7.059482288490841
0,4,Naph-H + [B(OH)$_4$]$^-$,False,True,False,top,-1.5,darkred,darkred,o,-16.10252282498506
1,0,[NaphB(OH)$_3$]$^-$,False,False,False,top,-1.5,darkblue,darkblue,o,0.0
1,1,[NaphB(OH)$_3$]$^-$ // [NaphB(OH)$_3$]$^-$ + H$_2$O,False,True,True,top,-1.5,darkblue,darkblue,x,4.229414700070988
1,2,[NaphB(OH)$_3$]$^-$ + H$_2$O,True,True,False,top,-1.5,darkblue,darkblue,o,0.7630516253099937
1,3,TS1,True,True,True,top,-1.5,darkblue,darkblue,o,26.181581381482804
1,4,Naph-H + [B(OH)$_4$]$^-$,False,True,False,top,-1.5,darkblue,darkblue,o,-16.10252282498506
2,4,Naph-H + [B(OH)$_4$]$^-$,True,True,False,top,-1.5,black,black,o,-16.10252282498506
2,5,Naph-H + [B(OH)$_4$]$^-$ // Naph-H + B(OH)$_3$ + [NaphB(OH)$_3$]$^-$,False,True,True,top,-1.5,black,black,x,-12.636159750224063
2,6,Naph-H + B(OH)$_3$ + [NaphB(OH)$_3$]$^-$,True,True,False,top,-1.5,black,black,o,-24.967977891924168
