I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
100-l2pd2oh4,,00-lpdoh2,00-lpdoh2,-2649.958744,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
00-lpdoh2,naphboh2,01-rxt,,-1886.126157,True,diffusion-lpdoh2-rxt,2.2533868308731897,0.0
01-rxt,,03-c1,,-1886.1025184223447,True,02-ts-rxt-c1,14.833433468876514,11.177562771078485
03-c1,,05-c2,,-1886.1116724223446,True,04-ts-c1-c2,5.433340256830314,36.46494302928044
05-c2,h2o,09-c3,boh3,-1962.522594,True,07-ts-c2-c3,9.77848147712199,1.7356914434928212
09-c3,,11-c4,,-1710.208599,True,10-ts-c3-c4,27.832559034344513,11.83483030586721
11-c4,,naph-c,00-lpdoh2,-1710.227459,True,diffusion-c4-pdt,0.0,23.88615141010905
01-rxt,,13-t1,,-1886.1132675776553,True,12-ts-rxt-t1,8.088235747098077,5.8655968848125175
13-t1,,15-t2,,-1886.1051355776553,True,14-ts-t1-t2,10.96850462855589,13.728291674468476
15-t2,h2o,19-t3,boh3,-1962.4727025776554,True,17-ts-t2-t3,14.247242080823456,14.124877716530957
19-t3,,21-t4,,-1710.1958905776553,True,20-ts-t3-t4,16.8890573294254,25.229914403910385
21-t4,,naph-t,00-lpdoh2,-1710.236097,True,diffusion-t4-pdt,0.0,18.465723828835166
