I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
100-l2pd2oh4,,00-lpdoh2,00-lpdoh2,-3104.254843,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
00-lpdoh2,naphboh2,01-rxt,,-2113.277284,True,diffusion-lpdoh2-rxt,0.3222261592560221,0.0
01-rxt,,03-c1,,-2113.2533831351057,True,02-ts-rxt-c1,14.998021218819405,10.334370167269062
03-c1,,05-c2,,-2113.2641181351055,True,04-ts-c1-c2,3.598055038306046,35.29670047323676
05-c2,h2o,09-c3,boh3,-2189.679359,True,07-ts-c2-c3,5.899844885077523,-0.3557979206792067
09-c3,,11-c4,,-1937.357384,True,10-ts-c3-c4,30.748595960859117,16.985428776352972
11-c4,,naph-c,00-lpdoh2,-1937.384452,True,diffusion-c4-pdt,0.0,18.27401965820537
01-rxt,,13-t1,,-2113.2639508648945,True,12-ts-rxt-t1,8.366669746414727,7.268528016074835
13-t1,,15-t2,,-2113.2536158648945,True,14-ts-t1-t2,13.75383932100908,19.981871706470784
15-t2,h2o,19-t3,boh3,-2189.626677864894,True,17-ts-t2-t3,17.05265707958133,17.055794627303214
19-t3,,21-t4,,-1937.3517608648945,True,20-ts-t3-t4,18.630843623212165,23.639624933016087
21-t4,,naph-t,00-lpdoh2,-1937.389433,True,diffusion-t4-pdt,0.0,15.148394538675253
