I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
e100-l2pd2oh4,,e00-lpdoh2,e00-lpdoh2,-2649.958744,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
e00-lpdoh2,naphbpin,e01-ecrxt,,-2120.331905,True,diffusion-lpdoh2-ecrxt,6.33533652006136,0.0
e00-lpdoh2,naphbpin,e12-etrxt,,-2120.337965,True,diffusion-lpdoh2-etrxt,2.532628584969652,0.0
e01-ecrxt,,e03-ec1,,-2120.31305,True,e02-ts-ecrxt-ec1,11.831692758002646,7.048187380394384
e03-ec1,,e05-ec2,,-2120.321789,True,e04-ts-ec1-ec2,1.564381333626001,34.414506811595466
e05-ec2,h2o,e09-ec3,bpinoh,-2196.73266,True,e07-ts-ec2-ec3,7.759783221752798,0.42858902948204247
e09-ec3,,e11-ec4,,-1710.208599,True,e10-ts-ec3-ec4,27.832559034344513,11.83483030586721
e11-ec4,,naph-c,e00-lpdoh2,-1710.227459,True,diffusion-ec4-pdt,0.0,23.88615141010905
e00-lpdoh2,naphbpin,e12-etrxt,,-2120.337965,True,e12-etrxt,2.532628584969652,0.0
e12-etrxt,,e14-et1,,-2120.322291,True,e13-ts-etrxt-et1,9.835584847172717,7.464853728476188
e14-et1,,e16-et2,,-2120.312399,True,e15-ts-et1-et2,13.672178298288582,9.610308914977056
e16-et2,h2o,e20-et3,bpinoh,-2196.673088,True,e18-ts-et2-et3,14.445270076536898,18.89243032985529
e20-et3,,e22-et4,,-1710.19465,True,e21-ts-et3-et4,17.667531668383724,26.008388742868707
e22-et4,,naph-t,e00-lpdoh2,-1710.236097,True,diffusion-et4-pdt,0.0,18.465723828835166
