I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
e100-l2pd2oh4,,e00-lpdoh2,e00-lpdoh2,-2638.132442,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
e00-lpdoh2,naphbpin,e01-ecrxt,,-2114.420911,True,diffusion-lpdoh2-ecrxt,4.981798398710841,0.0
e00-lpdoh2,naphbpin,e12-etrxt,,-2114.424492,True,diffusion-lpdoh2-etrxt,2.734686663566782,0.0
e01-ecrxt,,e03-ec1,,-2114.403026,True,e02-ts-ecrxt-ec1,11.223008484832752,7.4485384800940935
e03-ec1,,e05-ec2,,-2114.411465,True,e04-ts-ec1-ec2,2.1529853012046094,37.92542280113245
e05-ec2,h2o,e09-ec3,bpinoh,-2190.823443,True,e07-ts-ec2-ec3,10.576046128086126,0.9669922320836817
e09-ec3,,e11-ec4,,-1704.291804,True,e10-ts-ec3-ec4,33.126229684486724,15.614947896847694
e11-ec4,,naph-c,e00-lpdoh2,-1704.316688,True,diffusion-ec4-pdt,0.0,22.392678656823968
e00-lpdoh2,naphbpin,e12-etrxt,,-2114.424492,True,e12-etrxt,2.734686663566782,0.0
e12-etrxt,,e14-et1,,-2114.403247,True,e13-ts-etrxt-et1,13.331440607016859,13.74998948356058
e14-et1,,e16-et2,,-2114.407873,True,e15-ts-et1-et2,10.847130257991543,14.264547323076382
e16-et2,h2o,e20-et3,bpinoh,-2190.772515,True,e18-ts-et2-et3,16.618963193105458,18.611933556498858
e20-et3,,e22-et4,,-1704.292577,True,e21-ts-et3-et4,18.32829923527786,21.96095207933468
e22-et4,,naph-t,e00-lpdoh2,-1704.327574,True,diffusion-et4-pdt,0.0,15.561609584291517
