I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
e100-l2pd2oh4,,e00-lpdoh2,e00-lpdoh2,-3104.254843,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
e00-lpdoh2,naphbpin,e01-ecrxt,,-2347.481159,True,diffusion-lpdoh2-ecrxt,5.579501254854134,0.0
e00-lpdoh2,naphbpin,e12-etrxt,,-2347.483594,True,diffusion-lpdoh2-etrxt,4.05151547577223,0.0
e01-ecrxt,,e03-ec1,,-2347.465332,True,e02-ts-ecrxt-ec1,9.931593809574082,12.473635037994752
e03-ec1,,e05-ec2,,-2347.472931,True,e04-ts-ec1-ec2,7.705189890079331,38.4104876913206
e05-ec2,h2o,e09-ec3,bpinoh,-2423.890324,True,e07-ts-ec2-ec3,7.663146749578767,-2.2270314292674147
e09-ec3,,e11-ec4,,-1937.357384,True,e10-ts-ec3-ec4,30.748595960859117,16.985428776352972
e11-ec4,,naph-c,e00-lpdoh2,-1937.384452,True,diffusion-ec4-pdt,0.0,18.27401965820537
e00-lpdoh2,naphbpin,e12-etrxt,,-2347.483594,True,e12-etrxt,4.05151547577223,0.0
e12-etrxt,,e14-et1,,-2347.472664,True,e13-ts-etrxt-et1,6.858679493255516,8.334581978898534
e14-et1,,e16-et2,,-2347.465627,True,e15-ts-et1-et2,12.750366754141991,12.863945984756139
e16-et2,h2o,e20-et3,bpinoh,-2423.832573,True,e18-ts-et2-et3,13.772579827957163,18.36594980865389
e20-et3,,e22-et4,,-1937.349353,True,e21-ts-et3-et4,20.14180186418536,25.15058317398928
e22-et4,,naph-t,e00-lpdoh2,-1937.389433,True,diffusion-et4-pdt,0.0,15.148394538675253
