I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
e100-l2pd2oh4,,e00-lpdoh2,e00-lpdoh2,-2795.041181,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
e00-lpdoh2,naphbpin,e01-ecrxt,,-2192.865998,True,diffusion-lpdoh2-ecrxt,10.806655891351921,0.0
e00-lpdoh2,naphbpin,e12-etrxt,,-2192.876954,True,diffusion-lpdoh2-etrxt,3.9316611497143112,0.0
e01-ecrxt,,e03-ec1,,-2192.849218,True,e02-ts-ecrxt-ec1,10.529610420889066,6.739452676970261
e03-ec1,,e05-ec2,,-2192.851239,True,e04-ts-ec1-ec2,5.471255855595481,38.77820829340004
e05-ec2,h2o,e09-ec3,bpinoh,-2269.264475,True,e07-ts-ec2-ec3,10.639424593723303,6.119473231316716
e09-ec3,,e11-ec4,,-1782.739455,True,e10-ts-ec3-ec4,34.125224904418005,12.5238358031144
e11-ec4,,naph-c,e00-lpdoh2,-1782.759413,True,diffusion-ec4-pdt,0.0,29.699713730837196
e00-lpdoh2,naphbpin,e12-etrxt,,-2192.876954,True,e12-etrxt,3.9316611497143112,0.0
e12-etrxt,,e14-et1,,-2192.856236,True,e13-ts-etrxt-et1,13.000743068683457,10.124239244720195
e14-et1,,e16-et2,,-2192.859012,True,e15-ts-et1-et2,8.382272705640922,15.07340714638149
e16-et2,h2o,e20-et3,bpinoh,-2269.222136,True,e18-ts-et2-et3,18.38038252885943,20.17631489012486
e20-et3,,e22-et4,,-1782.744153,True,e21-ts-et3-et4,18.665899378542342,22.578421486610967
e22-et4,,naph-t,e00-lpdoh2,-1782.780134,True,diffusion-et4-pdt,0.0,16.697088133263787
