line,point,label_name,is_label,is_point,is_TS,vertical_alignment,vertical_offset,line_color,point_color,point_marker,structure,reference_gibbs
1,0,[LPd(OH)$_2$]$_2$,True,True,False,top,-1.5,#C04A1B,black,o,e00-lpdoh2,0.0
1,1,Pd-ECRXT,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,8.572408365655535
1,2,ECRXT,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,e01-ecrxt,5.10604529089454
1,4,ECRXT-EC1,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,e02-ts-ecrxt-ec1,17.40021259525946
1,6,EC1,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,e03-ec1,11.4639721559232
1,8,EC1-EC2,True,True,True,top,-5.5,#C04A1B,#C04A1B,o,e04-ts-ec1-ec2,13.200918618247954
1,10,EC2,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,e05-ec2,-22.377618427273806
1,11,EC2 // H$_2$O,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-16.74885740814254
1,12,EC2 + H$_2$O,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,e06-ec2-h2o,-20.215220482903536
1,13,EC2-EC3,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,e07-ts-ec2-ec3,-14.78600776809398
1,14,EC3 + BpinOH,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,e08-ec3-bpinoh,-20.360802701079926
1,15,EC3 // BpinOH,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-12.017435324258527
1,16,EC3,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,e09-ec3,-15.483798399019522
1,18,EC3-EC4,True,True,True,top,-7.5,#C04A1B,#C04A1B,o,e10-ts-ec3-ec4,13.962087714525314
1,20,EC4,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,e11-ec4,1.9854402478335853
1,21,EC4-PDT,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,5.45180332259458
1,22,PDT,True,True,False,top,-1.5,black,black,o,pdt,-23.645187739000768
2,0,[LPd(OH)$_2$]$_2$,False,True,False,top,-1.5,#204195,black,o,e00-lpdoh2,0.0
2,1,Pd-ETRXT,False,True,True,top,-1.5,#204195,#204195,x,diffusion,4.747737596795983
2,2,ETRXT,True,True,False,top,-1.5,#204195,#204195,o,e12-etrxt,1.2813745220349886
2,4,ETRXT-ET1,True,True,True,top,-5.5,#204195,#204195,o,e13-ts-etrxt-et1,11.565001195079086
2,6,ET1,True,True,False,top,-1.5,#204195,#204195,o,e14-et1,4.72702951718752
2,8,ET1-ET2,True,True,True,bottom,1.5,#204195,#204195,o,e15-ts-et1-et2,17.965598708668825
2,10,ET2,True,True,False,top,-1.5,#204195,#204195,o,e16-et2,7.788648661593153
2,11,ET2 // H$_2$O,False,True,True,top,-1.5,#204195,#204195,x,diffusion,11.970372634636394
2,12,ET2 + H$_2$O,True,True,False,top,-1.5,#204195,#204195,o,e17-et2-h2o,8.5040095598754
2,13,ET2-ET3,True,True,True,bottom,1.5,#204195,#204195,o,e18-ts-et2-et3,22.331182719506028
2,14,ET3 + BpinOH,True,True,False,top,-1.5,#204195,#204195,o,e19-et3-bpinoh,5.328183675653673
2,15,ET3 // BpinOH,False,True,True,top,-1.5,#204195,#204195,x,diffusion,8.794546750414668
2,16,ET3,True,True,False,top,-1.5,#204195,#204195,o,e20-et3,3.420554612806726
2,18,ET3-ET4,True,True,True,bottom,1.5,#204195,#204195,o,e21-ts-et3-et4,22.16238264773111
2,20,ET4,True,True,False,top,-1.5,#204195,#204195,o,e22-et4,-3.6477130740350194
2,21,ET4-PDT,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-0.18134999927402484
2,22,PDT,False,True,False,top,-1.5,black,black,o,pdt,-23.645187739000768
