I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
e100-l2pd2oh4,,e00-lpdoh2,e00-lpdoh2,-2649.958744,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
e00-lpdoh2,6cnnaphbpin,e01-ecrxt,,-2212.490361,True,diffusion-lpdoh2-ecrxt,5.106045291465257,0.0
e00-lpdoh2,6cnnaphbpin,e12-etrxt,,-2212.496456,True,diffusion-lpdoh2-etrxt,1.2813745220349886,0.0
e01-ecrxt,,e03-ec1,,-2212.470769,True,e02-ts-ecrxt-ec1,12.294167304079563,5.93624043962162
e03-ec1,,e05-ec2,,-2212.477461,True,e04-ts-ec1-ec2,1.7369464626101114,35.57853704580712
e05-ec2,h2o,e09-ec3,bpinoh,-2288.890455,True,e07-ts-ec2-ec3,7.591610659465185,0.6977906309255413
e09-ec3,,e11-ec4,,-1802.364252,True,e10-ts-ec3-ec4,29.445886113687514,11.97664746654905
e11-ec4,,6cnnaph-c,e00-lpdoh2,-1802.383338,True,diffusion-ec4-pdt,0.0,25.630627987565582
e00-lpdoh2,6cnnaphbpin,e12-etrxt,,-2212.496456,True,e12-etrxt,1.2813745220349886,0.0
e12-etrxt,,e14-et1,,-2212.480068,True,e13-ts-etrxt-et1,10.283626673044097,6.837971677891566
e14-et1,,e16-et2,,-2212.469868,True,e15-ts-et1-et2,13.23856919205202,10.176950047646386
e16-et2,h2o,e20-et3,bpinoh,-2288.831305,True,e18-ts-et2-et3,14.542534058198234,18.91062810698466
e20-et3,,e22-et4,,-1802.351184,True,e21-ts-et3-et4,18.74182803535242,25.810095721766128
e22-et4,,6cnnaph-t,e00-lpdoh2,-1802.392315,True,diffusion-et4-pdt,0.0,19.99747466541162
