line,point,label_name,is_label,is_point,is_TS,vertical_alignment,vertical_offset,line_color,point_color,point_marker,structure,reference_gibbs
1,0,[LPd(OH)$_2$]$_2$,True,True,False,top,-1.5,#C04A1B,black,o,e00-lpdoh2,0.0
1,1,Pd-ECRXT,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,9.116459155069716
1,2,ECRXT,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,e01-ecrxt,5.650096080308721
1,4,ECRXT-EC1,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,e02-ts-ecrxt-ec1,14.819893284118137
1,6,EC1,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,e03-ec1,12.89971402981293
1,8,EC1-EC2,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,e04-ts-ec1-ec2,20.731033341393953
1,10,EC2,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,e05-ec2,-23.884268881504454
1,11,EC2 // H$_2$O,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-16.068637044859067
1,12,EC2 + H$_2$O,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,e06-ec2-h2o,-19.53500011962006
1,13,EC2-EC3,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,e07-ts-ec2-ec3,-14.900214507624716
1,14,EC3 + BpinOH,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,e08-ec3-bpinoh,-18.778851099526502
1,15,EC3 // BpinOH,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-13.314497584902945
1,16,EC3,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,e09-ec3,-16.78086065966394
1,18,EC3-EC4,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,e10-ts-ec3-ec4,19.796671606074458
1,20,EC4,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,e11-ec4,5.995226338276942
1,21,EC4-PDT,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,9.461589413037936
1,22,PDT,True,True,False,top,-1.5,black,black,o,pdt,-23.645187739000768
2,0,[LPd(OH)$_2$]$_2$,False,True,False,top,-1.5,#204195,black,o,e00-lpdoh2,0.0
2,1,Pd-ETRXT,False,True,True,top,-1.5,#204195,#204195,x,diffusion,5.42921297933943
2,2,ETRXT,True,True,False,top,-1.5,#204195,#204195,o,e12-etrxt,1.9628499045784353
2,4,ETRXT-ET1,True,True,True,top,-5.5,#204195,#204195,o,e13-ts-etrxt-et1,12.953679851999091
2,6,ET1,True,True,False,top,-1.5,#204195,#204195,o,e14-et1,3.588727175094339
2,8,ET1-ET2,True,True,True,top,-5.5,#204195,#204195,o,e15-ts-et1-et2,16.4382404399303
2,10,ET2,True,True,False,top,-1.5,#204195,#204195,o,e16-et2,0.29179194555472365
2,11,ET2 // H$_2$O,False,True,True,top,-1.5,#204195,#204195,x,diffusion,9.053080689432539
2,12,ET2 + H$_2$O,True,True,False,top,-1.5,#204195,#204195,o,e17-et2-h2o,5.586717614671544
2,13,ET2-ET3,True,True,True,bottom,1.5,#204195,#204195,o,e18-ts-et2-et3,14.410757050740076
2,14,ET3 + BpinOH,True,True,False,top,-1.5,#204195,#204195,o,e19-et3-bpinoh,-0.006275095443772206
2,15,ET3 // BpinOH,False,True,True,top,-1.5,#204195,#204195,x,diffusion,3.4600879793172226
2,16,ET3,True,True,False,top,-1.5,#204195,#204195,o,e20-et3,-1.6610178058000313
2,18,ET3-ET4,True,True,True,top,-7.5,#204195,#204195,o,e21-ts-et3-et4,15.857794096542738
2,20,ET4,True,True,False,top,-1.5,#204195,#204195,o,e22-et4,-3.7161116155706413
2,21,ET4-PDT,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-0.2497485408096467
2,22,PDT,False,True,False,top,-1.5,black,black,o,pdt,-23.645187739000768
