I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
e100-l2pd2oh4,,e00-lpdoh2,e00-lpdoh2,-2186.114884,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
e00-lpdoh2,6cnnaphbpin,e01-ecrxt,,-1980.567564,True,diffusion-lpdoh2-ecrxt,5.650096080308721,0.0
e00-lpdoh2,6cnnaphbpin,e12-etrxt,,-1980.57344,True,diffusion-lpdoh2-etrxt,1.9628499044357564,0.0
e01-ecrxt,,e03-ec1,,-1980.552951,True,e02-ts-ecrxt-ec1,9.169797203666738,1.9201792543052079
e03-ec1,,e05-ec2,,-1980.543531,True,e04-ts-ec1-ec2,7.831319311581023,44.61530222275573
e05-ec2,h2o,e09-ec3,bpinoh,-2056.968707,True,e07-ts-ec2-ec3,8.98405437387974,1.8806461520392248
e09-ec3,,e11-ec4,,-1570.433024,True,e10-ts-ec3-ec4,36.577532265881075,13.801445267797517
e11-ec4,,6cnnaph-c,e00-lpdoh2,-1570.455018,True,diffusion-ec4-pdt,0.0,29.640414077438223
e00-lpdoh2,6cnnaphbpin,e12-etrxt,,-1980.57344,True,e12-etrxt,1.9628499044357564,0.0
e12-etrxt,,e14-et1,,-1980.555925,True,e13-ts-etrxt-et1,10.990829947420655,9.364952676904752
e14-et1,,e16-et2,,-1980.550372,True,e15-ts-et1-et2,12.849513264835961,16.146448494375576
e16-et2,h2o,e20-et3,bpinoh,-2056.921997,True,e18-ts-et2-et3,14.118965105185351,16.071774856540106
e20-et3,,e22-et4,,-1570.439301,True,e21-ts-et3-et4,17.51881190248545,19.57390571225606
e22-et4,,6cnnaph-t,e00-lpdoh2,-1570.470494,True,diffusion-et4-pdt,0.0,19.92907612344796
