line,point,label_name,is_label,is_point,is_TS,vertical_alignment,vertical_offset,line_color,point_color,point_marker,structure,reference_gibbs
1,0,[LPd(OH)$_2$]$_2$,True,True,False,top,-1.5,#C04A1B,black,o,e00-lpdoh2,0.0
1,1,Pd-ECRXT,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,7.554274104791963
1,2,ECRXT,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,e01-ecrxt,4.087911030030969
1,4,ECRXT-EC1,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,e02-ts-ecrxt-ec1,14.378440308291502
1,6,EC1,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,e03-ec1,3.158569371180637
1,8,EC1-EC2,True,True,True,top,-5.5,#C04A1B,#C04A1B,o,e04-ts-ec1-ec2,11.022519180381924
1,10,EC2,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,e05-ec2,-28.319192698536277
1,11,EC2 // H$_2$O,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-22.66282125853927
1,12,EC2 + H$_2$O,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,e06-ec2-h2o,-26.129184333300266
1,13,EC2-EC3,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,e07-ts-ec2-ec3,-20.75205491192959
1,14,EC3 + BpinOH,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,e08-ec3-bpinoh,-24.98021432821074
1,15,EC3 // BpinOH,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-15.377435264548986
1,16,EC3,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,e09-ec3,-18.84379833930998
1,18,EC3-EC4,True,True,True,top,-7.5,#C04A1B,#C04A1B,o,e10-ts-ec3-ec4,13.257708233840384
1,20,EC4,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,e11-ec4,-3.669989662974554
1,21,EC4-PDT,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-0.2036265882135595
1,22,PDT,True,True,False,top,-1.5,black,black,o,pdt,-23.645187739000768
2,0,[LPd(OH)$_2$]$_2$,False,True,False,top,-1.5,#204195,black,o,e00-lpdoh2,0.0
2,1,Pd-ETRXT,False,True,True,top,-1.5,#204195,#204195,x,diffusion,6.315570233030202
2,2,ETRXT,True,True,False,top,-1.5,#204195,#204195,o,e12-etrxt,2.849207158269208
2,4,ETRXT-ET1,True,True,True,top,-5.5,#204195,#204195,o,e13-ts-etrxt-et1,9.90931722034919
2,6,ET1,True,True,False,top,-1.5,#204195,#204195,o,e14-et1,2.3967727651306125
2,8,ET1-ET2,True,True,True,bottom,1.5,#204195,#204195,o,e15-ts-et1-et2,14.742395853161756
2,10,ET2,True,True,False,top,-1.5,#204195,#204195,o,e16-et2,1.0212718091561745
2,11,ET2 // H$_2$O,False,True,True,top,-1.5,#204195,#204195,x,diffusion,8.68253629423218
2,12,ET2 + H$_2$O,True,True,False,top,-1.5,#204195,#204195,o,e17-et2-h2o,5.216173219471186
2,13,ET2-ET3,True,True,True,bottom,1.5,#204195,#204195,o,e18-ts-et2-et3,14.877310408627158
2,14,ET3 + BpinOH,True,True,False,top,-1.5,#204195,#204195,o,e19-et3-bpinoh,-0.26198524162608905
2,15,ET3 // BpinOH,False,True,True,top,-1.5,#204195,#204195,x,diffusion,3.2043778331349055
2,16,ET3,True,True,False,top,-1.5,#204195,#204195,o,e20-et3,-3.1409991038239315
2,18,ET3-ET4,True,True,True,bottom,1.5,#204195,#204195,o,e21-ts-et3-et4,17.913829170686984
2,20,ET4,True,True,False,top,-1.5,#204195,#204195,o,e22-et4,-6.946844586352166
2,21,ET4-PDT,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-3.480481511591172
2,22,PDT,False,True,False,top,-1.5,black,black,o,pdt,-23.645187739000768
