I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
e100-l2pd2oh4,,e00-lpdoh2,e00-lpdoh2,-3104.254843,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
e00-lpdoh2,6cnnaphbpin,e01-ecrxt,,-2439.640033,True,diffusion-lpdoh2-ecrxt,4.087911030030969,0.0
e00-lpdoh2,6cnnaphbpin,e12-etrxt,,-2439.642007,True,diffusion-lpdoh2-etrxt,2.849207158269208,0.0
e01-ecrxt,,e03-ec1,,-2439.623634,True,e02-ts-ecrxt-ec1,10.290529278260534,11.219870936825506
e03-ec1,,e05-ec2,,-2439.628982,True,e04-ts-ec1-ec2,7.8639498086305695,39.34171187834748
e05-ec2,h2o,e09-ec3,bpinoh,-2516.048012,True,e07-ts-ec2-ec3,7.5671377866066845,-1.9082565726196108
e09-ec3,,e11-ec4,,-2029.513424,True,e10-ts-ec3-ec4,32.10150657272233,16.92769789681494
e11-ec4,,6cnnaph-c,e00-lpdoh2,-2029.5404,True,diffusion-ec4-pdt,0.0,19.975198076044048
e00-lpdoh2,6cnnaphbpin,e12-etrxt,,-2439.642007,True,e12-etrxt,2.849207158269208,0.0
e12-etrxt,,e14-et1,,-2439.630756,True,e13-ts-etrxt-et1,7.060110062079982,7.512544454933218
e14-et1,,e16-et2,,-2439.623054,True,e15-ts-et1-et2,12.345623087745786,13.721124044005581
e16-et2,h2o,e20-et3,bpinoh,-2515.991233,True,e18-ts-et2-et3,13.856038599470983,18.01830951245109
e20-et3,,e22-et4,,-2029.506004,True,e21-ts-et3-et4,21.054828274368237,24.860673757181832
e22-et4,,6cnnaph-t,e00-lpdoh2,-2029.545622,True,diffusion-et4-pdt,0.0,16.698343152523755
