I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
e100-l2pd2oh4,,e00-lpdoh2,e00-lpdoh2,-2795.041181,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
e00-lpdoh2,6cnnaphbpin,e01-ecrxt,,-2285.023855,True,diffusion-lpdoh2-ecrxt,9.953242889597028,0.0
e00-lpdoh2,6cnnaphbpin,e12-etrxt,,-2285.035352,True,diffusion-lpdoh2-etrxt,2.7387654756623054,0.0
e01-ecrxt,,e03-ec1,,-2285.007799,True,e02-ts-ecrxt-ec1,10.075293499003196,5.81513109458909
e03-ec1,,e05-ec2,,-2285.007724,True,e04-ts-ec1-ec2,5.862194311558815,39.32476912047808
e05-ec2,h2o,e09-ec3,bpinoh,-2361.422068,True,e07-ts-ec2-ec3,10.490704828110388,6.489076362428795
e09-ec3,,e11-ec4,,-1874.895281,True,e10-ts-ec3-ec4,35.6036374282956,12.134152366125676
e11-ec4,,6cnnaph-c,e00-lpdoh2,-1874.914618,True,diffusion-ec4-pdt,0.0,31.867131751961985
e00-lpdoh2,6cnnaphbpin,e12-etrxt,,-2285.035352,True,e12-etrxt,2.7387654756623054,0.0
e12-etrxt,,e14-et1,,-2285.014751,True,e13-ts-etrxt-et1,12.927324450107957,8.875495219734754
e14-et1,,e16-et2,,-2285.015999,True,e15-ts-et1-et2,8.092363288548116,16.07240236602741
e16-et2,h2o,e20-et3,bpinoh,-2361.380344,True,e18-ts-et2-et3,18.61318857547347,20.035752748417632
e20-et3,,e22-et4,,-1874.90057,True,e21-ts-et3-et4,19.649206859436156,22.300434751489114
e22-et4,,6cnnaph-t,e00-lpdoh2,-1874.936108,True,diffusion-et4-pdt,0.0,18.38195130257769
