I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
e100-l2pd2oh4,,e00-lpdoh2,e00-lpdoh2,-2649.958744,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
e00-lpdoh2,6omenaphbpin,e01-ecrxt,,-2234.718374,True,diffusion-lpdoh2-ecrxt,6.6710541348639225,0.0
e00-lpdoh2,6omenaphbpin,e12-etrxt,,-2234.72162,True,diffusion-lpdoh2-etrxt,4.63415810250804,0.0
e01-ecrxt,,e03-ec1,,-2234.699818,True,e02-ts-ecrxt-ec1,11.644067399611052,6.390557361222132
e03-ec1,,e05-ec2,,-2234.707541,True,e04-ts-ec1-ec2,1.5443010274639986,33.09610922552908
e05-ec2,h2o,e09-ec3,bpinoh,-2311.118781,True,e07-ts-ec2-ec3,6.209834608046974,0.19327294463341854
e09-ec3,,e11-ec4,,-1824.596374,True,e10-ts-ec3-ec4,26.55934213678593,11.584453991468425
e11-ec4,,6omenaph-c,e00-lpdoh2,-1824.614835,True,diffusion-ec4-pdt,0.0,24.718856596499993
e00-lpdoh2,6omenaphbpin,e12-etrxt,,-2234.72162,True,e12-etrxt,4.63415810250804,0.0
e12-etrxt,,e14-et1,,-2234.706782,True,e13-ts-etrxt-et1,9.310986854433233,7.656244144362332
e14-et1,,e16-et2,,-2234.699225,True,e15-ts-et1-et2,12.398333891242693,9.050570387238803
e16-et2,h2o,e20-et3,bpinoh,-2311.05903,True,e18-ts-et2-et3,14.440250000067737,18.747475621451567
e20-et3,,e22-et4,,-1824.579524,True,e21-ts-et3-et4,18.192757170182475,25.904849665335565
e22-et4,,6omenaph-t,e00-lpdoh2,-1824.620806,True,diffusion-et4-pdt,0.0,20.9719970124844
