I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
e100-l2pd2oh4,,e00-lpdoh2,e00-lpdoh2,-2186.114884,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
e00-lpdoh2,6omenaphbpin,e01-ecrxt,,-2002.793474,True,diffusion-lpdoh2-ecrxt,8.534757528748388,0.0
e00-lpdoh2,6omenaphbpin,e12-etrxt,,-2002.798161,True,diffusion-lpdoh2-etrxt,5.593620220030659,0.0
e01-ecrxt,,e03-ec1,,-2002.784901,True,e02-ts-ecrxt-ec1,5.379639459890612,0.8960836520281209
e03-ec1,,e05-ec2,,-2002.775341,True,e04-ts-ec1-ec2,6.8950750477996126,41.09560109939771
e05-ec2,h2o,e09-ec3,bpinoh,-2079.195183,True,e07-ts-ec2-ec3,8.811489244895629,1.1608926864897642
e09-ec3,,e11-ec4,,-1592.666464,True,e10-ts-ec3-ec4,31.487802222797917,12.4993629302559
e11-ec4,,6omenaph-c,e00-lpdoh2,-1592.686383,True,diffusion-ec4-pdt,0.0,28.81147394839915
e00-lpdoh2,6omenaphbpin,e12-etrxt,,-2002.798161,True,e12-etrxt,5.593620220030659,0.0
e12-etrxt,,e14-et1,,-2002.782309,True,e13-ts-etrxt-et1,9.94728154875423,10.918666347962446
e14-et1,,e16-et2,,-2002.778081,True,e15-ts-et1-et2,13.571776768620001,14.440250000067737
e16-et2,h2o,e20-et3,bpinoh,-2079.147805,True,e18-ts-et2-et3,13.605662284929519,15.896699689321416
e20-et3,,e22-et4,,-1592.669892,True,e21-ts-et3-et4,14.342358508633737,19.348002270573094
e22-et4,,6omenaph-t,e00-lpdoh2,-1592.700725,True,diffusion-et4-pdt,0.0,19.81173183562462
