I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
e100-l2pd2oh4,,e00-lpdoh2,e00-lpdoh2,-2795.041181,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
e00-lpdoh2,6omenaphbpin,e01-ecrxt,,-2307.249985,True,diffusion-lpdoh2-ecrxt,12.699852234849407,0.0
e00-lpdoh2,6omenaphbpin,e12-etrxt,,-2307.260266,True,diffusion-lpdoh2-etrxt,6.248426446224678,0.0
e01-ecrxt,,e03-ec1,,-2307.233199,True,e02-ts-ecrxt-ec1,10.533375478098257,7.683227055455412
e03-ec1,,e05-ec2,,-2307.236083,True,e04-ts-ec1-ec2,5.8734894837571066,39.762143284209195
e05-ec2,h2o,e09-ec3,bpinoh,-2383.648026,True,e07-ts-ec2-ec3,12.43472944578679,7.4830515058909155
e09-ec3,,e11-ec4,,-1897.126856,True,e10-ts-ec3-ec4,33.07289137178787,12.166782863175223
e11-ec4,,6omenaph-c,e00-lpdoh2,-1897.146245,True,diffusion-ec4-pdt,0.0,30.873784118129848
e00-lpdoh2,6omenaphbpin,e12-etrxt,,-2307.260266,True,e12-etrxt,6.248426446224678,0.0
e12-etrxt,,e14-et1,,-2307.242197,True,e13-ts-etrxt-et1,11.338470243623457,9.198035133877108
e14-et1,,e16-et2,,-2307.243832,True,e15-ts-et1-et2,8.172057002852746,14.222504182575818
e16-et2,h2o,e20-et3,bpinoh,-2383.605497,True,e18-ts-et2-et3,18.445016013471214,20.368960324985615
e20-et3,,e22-et4,,-1897.131241,True,e21-ts-et3-et4,16.51981668255417,22.31361245214932
e22-et4,,6omenaph-t,e00-lpdoh2,-1897.1668,True,diffusion-et4-pdt,0.0,17.97532510757689
