structure,qh-G(T)_SPC
00-lpdoh2,-1093.057442
01-rxt,-1654.20414
03-c1,-1654.189857
05-c2,-1654.248268
09-c3,-1478.333202
11-c4,-1478.299707
13-t1,-1654.203898
15-t2,-1654.211569
19-t3,-1478.309377
21-t4,-1478.314001
70-c2dim,-1401.983482
71-c2-naphboh2,-2215.391935
72-hc1,-1963.137241
73-hc1-boh3,-2215.404288
76-hc2,-1963.135789
78-hc3,-1963.142324
80-lpd0boh3,-1193.790147
81-hc4,-1710.880331
83-lpd0,-941.51432
99-l2pd2oh4,-2186.114884
naphboh2,-561.150376
h2o,-76.368394
boh3,-252.272407
naphh-c,-385.286152
naphh-t,-385.286152
binaph,-769.393717
