I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
99-l2pd2oh4,,00-lpdoh2,00-lpdoh2,-2186.114884,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
00-lpdoh2,naphboh2,01-rxt,,-1654.20414,True,diffusion-lpdoh2-rxt,2.3079801625466563,0.0
01-rxt,,03-c1,,-1654.1892,True,02-ts-rxt-c1,9.374992829843073,0.4122737810999481
03-c1,,05-c2,,-1654.181894,True,04-ts-c1-c2,4.996858628118324,41.6503195506668
05-c2,h2o,09-c3,boh3,-1730.601304,True,07-ts-c2-c3,9.637291826070136,2.701428656744571
09-c3,,11-c4,,-1478.279142,True,10-ts-c3-c4,33.923166825963555,12.904734105996733
11-c4,,naphh-c,00-lpdoh2,-1478.299707,True,diffusion-c4-pdt,0.0,27.539512069815178
01-rxt,,13-t1,,-1654.18912,True,12-ts-rxt-t1,9.425193594677364,9.273336281057203
13-t1,,15-t2,,-1654.186811,True,14-ts-t1-t2,10.722255855607141,15.535881692173048
15-t2,h2o,19-t3,boh3,-1730.556663,True,17-ts-t2-t3,14.620972753385573,15.763667662460609
19-t3,,21-t4,,-1478.282826,True,20-ts-t3-t4,16.6610063337487,19.562610540200446
21-t4,,naphh-t,00-lpdoh2,-1478.314001,True,diffusion-t4-pdt,0.0,18.569890415855618
71-c2-naphboh2,,73-hc1-boh3,,-2215.379449,True,72-ts-c2-naphboh2-hc1,7.835084369075572,15.586709966637324
72-hc1,,76-hc2,,-1963.127447,True,75-ts-hc1-hc2,6.145828632779812,5.234684751344208
76-hc2,,78-hc3,,-1963.118494,True,77-ts-hc2-hc3,10.852777844090689,14.95355282018089
78-hc3,,80-lpd0boh3,binaph,-1963.135587,True,79-ts-hc3-pd0boh3,4.227531907221879,30.294279039258605
81-hc4,,83-lpd0,binaph,-1710.877115,True,82-ts-hc4-lpd0,2.0180707457392075,19.40385062150653
05-c2,,70-c2dim,boh3,-1654.248268,True,diffusion-05-70,0.0,4.7822503584909715
05-c2,naphboh2,71-c2-naphboh2,,-2215.391935,True,diffusion-05-71,4.209961639437136,0.0
73-hc1-boh3,,72-hc1,boh3,-2215.404288,True,diffusion-73-72,0.0,3.3634512426133205
78-hc3,,81-hc4,boh3,-1963.142324,True,diffusion-78-81,0.0,6.53488456028123
80-lpd0boh3,,83-lpd0,boh3,-1193.786727,True,diffusion-80-83,2.1460826959881736,0.0
