line,point,label_name,is_label,is_point,is_TS,vertical_alignment,vertical_offset,line_color,point_color,point_marker,structure,reference_gibbs
0,0,[LPd(OH)$_2$]$_2$,True,True,False,top,-1.5,black,black,o,00-lpdoh2,0.0
0,1,Pd-RXT,False,True,True,top,-1.5,black,black,x,diffusion,7.401475527083524
0,2,RXT,True,True,False,top,-1.5,black,black,o,01-rxt,3.9351124523225294
1,2,RXT,False,False,False,top,-1.5,#C04A1B,#C04A1B,o,01-rxt,3.9351124523225294
1,4,RXT-C1,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,02-ts-rxt-c1,14.919039794812107
1,6,C1,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,03-c1,4.182351219427467
1,8,C1-C2,True,True,True,top,-5.5,#C04A1B,#C04A1B,o,04-ts-c1-c2,6.228659895234366
1,10,C2,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,05-c2,-29.067497848469046
1,11,C2 // H$_2$O,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-21.659119716739802
1,12,C2 + H$_2$O,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,06-c2-h2o,-25.125482791500797
1,13,C2-C3,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,07-ts-c2-c3,-19.312861735146285
1,14,C3 + B(OH)$_3$,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,08-c3-boh3,-24.096994622241855
1,15,C3 // B(OH)$_3$,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-18.606913215499826
1,16,C3,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,09-c3,-22.07327629026082
1,18,C3-C4,True,True,True,top,-7.5,#C04A1B,#C04A1B,o,10-ts-c3-c4,10.00626744769491
1,20,C4,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,11-c4,-5.200799235177371
1,21,C4-PDT,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-1.7344361604163763
1,22,PDT,True,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
2,2,RXT,False,False,False,top,-1.5,#204195,#204195,o,01-rxt,3.9351124523225294
2,4,RXT-T1,True,True,True,top,-5.5,#204195,#204195,o,12-ts-rxt-t1,9.754636113893476
2,6,T1,True,True,False,top,-1.5,#204195,#204195,o,13-t1,2.561494025095366
2,8,T1-T2,True,True,True,bottom,1.5,#204195,#204195,o,14-ts-t1-t2,14.426444789920223
2,10,T2,True,True,False,top,-1.5,#204195,#204195,o,15-t2,-1.357303178274352
2,11,T2 // H$_2$O,False,True,True,top,-1.5,#204195,#204195,x,diffusion,3.938250264574287
2,12,T2 + H$_2$O,True,True,False,top,-1.5,#204195,#204195,o,16-t2-h2o,0.47188718981329225
2,13,T2-T3,True,True,True,bottom,1.5,#204195,#204195,o,17-ts-t2-t3,11.380513384694737
2,14,T3 + B(OH)$_3$,True,True,False,top,-1.5,#204195,#204195,o,18-t3-boh3,2.3650835330254196
2,15,T3 // B(OH)$_3$,False,True,True,top,-1.5,#204195,#204195,x,diffusion,5.831446607786415
2,16,T3,True,True,False,top,-1.5,#204195,#204195,o,19-t3,-4.346131214162508
2,18,T3-T4,True,True,True,bottom,1.5,#204195,#204195,o,20-ts-t3-t4,13.934477294801003
2,20,T4,True,True,False,top,-1.5,#204195,#204195,o,21-t4,-10.508275095181736
2,21,T4-PDT,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-7.041912020420741
2,22,PDT,False,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
