I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
99-l2pd2oh4,,00-lpdoh2,00-lpdoh2,-2864.107992,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
00-lpdoh2,naphboh2,01-rxt,,-1993.198101,True,diffusion-lpdoh2-rxt,3.9351124523225294,0.0
01-rxt,,03-c1,,-1993.180597,True,02-ts-rxt-c1,10.983927342204218,10.73668857552732
03-c1,,05-c2,,-1993.194446,True,04-ts-c1-c2,2.0463086759495783,35.29615774384609
05-c2,h2o,09-c3,boh3,-2069.603543,True,07-ts-c2-c3,9.754636113608116,2.760414555399893
09-c3,,11-c4,,-1817.284413,True,10-ts-c3-c4,32.07954373795573,15.207066682586921
11-c4,,naphh-c,00-lpdoh2,-1817.308647,True,diffusion-c4-pdt,0.0,19.767178656889477
01-rxt,,13-t1,,-1993.188827,True,12-ts-rxt-t1,5.819523661570946,7.193142088940788
13-t1,,15-t2,,-1993.181382,True,14-ts-t1-t2,11.864950764824856,15.783747968479933
15-t2,h2o,19-t3,boh3,-2069.55463,True,17-ts-t2-t3,12.737816562969089,15.726644598571886
19-t3,,21-t4,,-1817.278153,True,20-ts-t3-t4,18.280608508678153,24.442752390125417
21-t4,,naphh-t,00-lpdoh2,-1817.317105,True,diffusion-t4-pdt,0.0,14.459702796457075
