line,point,label_name,is_label,is_point,is_TS,vertical_alignment,vertical_offset,line_color,point_color,point_marker,structure,reference_gibbs
0,0,[LPd(OH)$_2$]$_2$,True,True,False,top,-1.5,black,black,o,00-lpdoh2,0.0
0,1,Pd-RXT,False,True,True,top,-1.5,black,black,x,diffusion,6.15147648340883
0,2,RXT,True,True,False,top,-1.5,black,black,o,01-rxt,2.685113408647835
1,2,RXT,False,False,False,top,-1.5,#C04A1B,#C04A1B,o,01-rxt,2.685113408647835
1,4,RXT-C1,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,02-ts-rxt-c1,17.137913599888474
1,6,C1,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,03-c1,10.540905593087357
1,8,C1-C2,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,04-ts-c1-c2,14.64293558843753
1,10,C2,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,05-c2,-25.06837942159275
1,11,C2 // H$_2$O,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-19.589593186763654
1,12,C2 + H$_2$O,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,06-c2-h2o,-23.05595626152465
1,13,C2-C3,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,07-ts-c2-c3,-16.256262667209814
1,14,C3 + B(OH)$_3$,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,08-c3-boh3,-19.78663145313614
1,15,C3 // B(OH)$_3$,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-14.414521843704755
1,16,C3,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,09-c3,-17.88088491846575
1,18,C3-C4,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,10-ts-c3-c4,14.570144479349336
1,20,C4,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,11-c4,2.223893881545529
1,21,C4-PDT,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,5.6902569563065235
1,22,PDT,True,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
2,2,RXT,False,False,False,top,-1.5,#204195,#204195,o,01-rxt,2.685113408647835
2,4,RXT-T1,True,True,True,top,-5.5,#204195,#204195,o,12-ts-rxt-t1,11.07491622870714
2,6,T1,True,True,False,top,-1.5,#204195,#204195,o,13-t1,2.7409617595812708
2,8,T1-T2,True,True,True,top,-5.5,#204195,#204195,o,14-ts-t1-t2,14.007895913091144
2,10,T2,True,True,False,top,-1.5,#204195,#204195,o,15-t2,-1.1546175907606335
2,11,T2 // H$_2$O,False,True,True,top,-1.5,#204195,#204195,x,diffusion,7.25777583765441
2,12,T2 + H$_2$O,True,True,False,top,-1.5,#204195,#204195,o,16-t2-h2o,3.7914127628934158
2,13,T2-T3,True,True,True,bottom,1.5,#204195,#204195,o,17-ts-t2-t3,15.399712118018392
2,14,T3 + B(OH)$_3$,True,True,False,top,-1.5,#204195,#204195,o,18-t3-boh3,2.9549425190079224
2,15,T3 // B(OH)$_3$,False,True,True,top,-1.5,#204195,#204195,x,diffusion,6.421305593768917
2,16,T3,True,True,False,top,-1.5,#204195,#204195,o,19-t3,-1.0661387424922923
2,18,T3-T4,True,True,True,top,-7.5,#204195,#204195,o,20-ts-t3-t4,14.133397825390889
2,20,T4,True,True,False,top,-1.5,#204195,#204195,o,21-t4,-9.989952198742099
2,21,T4-PDT,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-6.523589123981104
2,22,PDT,False,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
