I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
99-l2pd2oh4,,00-lpdoh2,00-lpdoh2,-2340.746482,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
00-lpdoh2,naphboh2,01-rxt,,-1731.519338,True,diffusion-lpdoh2-rxt,2.6851134082197974,0.0
01-rxt,,03-c1,,-1731.496306,True,02-ts-rxt-c1,14.45280019124064,6.597008006658438
03-c1,,05-c2,,-1731.500282,True,04-ts-c1-c2,4.102029995207494,39.711315009602245
05-c2,h2o,09-c3,boh3,-1807.917917,True,07-ts-c2-c3,8.812116754382934,1.6246222513986135
09-c3,,11-c4,,-1555.596385,True,10-ts-c3-c4,32.45102939767241,12.346250597518448
11-c4,,naphh-c,00-lpdoh2,-1555.61606,True,diffusion-c4-pdt,0.0,27.19187177332702
01-rxt,,13-t1,,-1731.505968,True,12-ts-rxt-t1,8.389802820344665,8.333954469411228
13-t1,,15-t2,,-1731.501294,True,14-ts-t1-t2,11.26693415393791,15.162513503851779
15-t2,h2o,19-t3,boh3,-1807.86747,True,17-ts-t2-t3,16.55432970849367,16.465850860368008
19-t3,,21-t4,,-1555.597081,True,20-ts-t3-t4,15.19953656788318,24.12335002399031
21-t4,,naphh-t,00-lpdoh2,-1555.635524,True,diffusion-t4-pdt,0.0,14.978025693039392
