I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
99-l2pd2oh4,,00-lpdoh2,00-lpdoh2,-3577.444673,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
00-lpdoh2,naphboh2,01-rxt,,-2349.870599,True,diffusion-lpdoh2-rxt,1.3262414556564648,0.0
01-rxt,,03-c1,,-2349.85604,True,02-ts-rxt-c1,9.135911687214541,2.439757170004814
03-c1,,05-c2,,-2349.848162,True,04-ts-c1-c2,7.383277485709641,41.79213671134864
05-c2,h2o,09-c3,boh3,-2426.268777,True,07-ts-c2-c3,9.022959966658417,2.4824278202780414
09-c3,,11-c4,,-2173.943473,True,10-ts-c3-c4,35.67580102775381,21.25939639105727
11-c4,,naphh-c,00-lpdoh2,-2173.977352,True,diffusion-c4-pdt,0.0,19.538451422228277
01-rxt,,13-t1,,-2349.854533,True,12-ts-rxt-t1,10.081568594446967,8.83345207923419
13-t1,,15-t2,,-2349.851021,True,14-ts-t1-t2,11.037265654903074,17.033747012439985
15-t2,h2o,19-t3,boh3,-2426.225169,True,17-ts-t2-t3,13.423057003007086,12.270321940708369
19-t3,,21-t4,,-2173.946432,True,20-ts-t3-t4,16.242457456776943,21.236806046660686
21-t4,,naphh-t,00-lpdoh2,-2173.980275,True,diffusion-t4-pdt,0.0,17.70424097767147
