I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
100-l2pd2oh4,,00-lpdoh2,00-lpdoh2,-4886.346262,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
00-lpdoh2,naphboh2,01-rxt,,-3004.315222,True,diffusion-lpdoh2-rxt,5.198916706430095,0.0
01-rxt,,03-c1,,-3004.285141,True,02-ts-rxt-c1,18.8761150814732,6.121983269836655
03-c1,,05-c2,,-3004.28778,True,04-ts-c1-c2,4.4659855402204265,40.83079206493607
05-c2,h2o,09-c3,boh3,-3080.70443,True,07-ts-c2-c3,10.54969072676571,3.5824520793652086
09-c3,,11-c4,,-2828.38251,True,10-ts-c3-c4,34.65233293496403,12.668790511660804
11-c4,,naph-c,00-lpdoh2,-2828.402699,True,diffusion-c4-pdt,0.0,35.507000955978896
01-rxt,,13-t1,,-3004.291818,True,12-ts-rxt-t1,14.686233747627346,13.793915152808417
13-t1,,15-t2,,-3004.29849,True,14-ts-t1-t2,9.607171366969812,14.964220482749198
15-t2,h2o,19-t3,boh3,-3080.66161,True,17-ts-t2-t3,18.273705903461718,23.98153286316579
19-t3,,21-t4,,-2828.393545,True,20-ts-t3-t4,21.25688635282269,15.902974785050546
21-t4,,naph-t,00-lpdoh2,-2828.418888,True,diffusion-t4-pdt,0.0,25.348248685461876
