I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
99-l2pd2oh4,,00-lpdoh2,00-lpdoh2,-3357.55918,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
00-lpdoh2,naphboh2,01-rxt,,-2239.925341,True,diffusion-lpdoh2-rxt,2.9022317160817312,0.0
01-rxt,,03-c1,,-2239.904703,True,02-ts-rxt-c1,12.950542303991845,8.138171486543229
03-c1,,05-c2,,-2239.909269,True,04-ts-c1-c2,5.272962834492901,36.07928967489005
05-c2,h2o,09-c3,boh3,-2316.323917,True,07-ts-c2-c3,7.054462476123515,3.186493546647355
09-c3,,11-c4,,-2064.003955,True,10-ts-c3-c4,33.02771068342274,17.01617674479792
11-c4,,naphh-c,00-lpdoh2,-2064.031072,True,diffusion-c4-pdt,0.0,21.755756453158344
01-rxt,,13-t1,,-2239.908394,True,12-ts-rxt-t1,10.634404517254143,9.765931285806408
13-t1,,15-t2,,-2239.907788,True,14-ts-t1-t2,10.146202079344114,16.70493200285386
15-t2,h2o,19-t3,boh3,-2316.276508,True,17-ts-t2-t3,16.500363886307507,17.632391132956915
19-t3,,21-t4,,-2064.001268,True,20-ts-t3-t4,19.41012571709298,20.86783042532127
21-t4,,naphh-t,00-lpdoh2,-2064.034523,True,diffusion-t4-pdt,0.0,19.59022096106619
