line,point,label_name,is_label,is_point,is_TS,vertical_alignment,vertical_offset,line_color,point_color,point_marker,structure,reference_gibbs
0,0,[LPd(OH)$_2$]$_2$,True,True,False,top,-1.5,black,black,o,00-lpdoh2,0.0
0,1,Pd-RXT,False,True,True,top,-1.5,black,black,x,diffusion,4.32793370156301
0,2,RXT,True,True,False,top,-1.5,black,black,o,01-rxt,0.8615706268020155
1,2,RXT,False,False,False,top,-1.5,#C04A1B,#C04A1B,o,01-rxt,0.8615706268020155
1,4,RXT-C1,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,02-ts-rxt-c1,15.331313576197413
1,6,C1,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,03-c1,5.104790273061362
1,8,C1-C2,True,True,True,top,-5.5,#C04A1B,#C04A1B,o,04-ts-c1-c2,8.976524259461357
1,10,C2,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,05-c2,-27.06072227464277
1,11,C2 // H$_2$O,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-21.486554587470334
1,12,C2 + H$_2$O,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,06-c2-h2o,-24.95291766223133
1,13,C2-C3,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,07-ts-c2-c3,-19.482289316123154
1,14,C3 + B(OH)$_3$,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,08-c3-boh3,-22.941749521708555
1,15,C3 // B(OH)$_3$,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-16.73128714021512
1,16,C3,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,09-c3,-20.197650214976115
1,18,C3-C4,True,True,True,top,-7.5,#C04A1B,#C04A1B,o,10-ts-c3-c4,9.820524617765233
1,20,C4,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,11-c4,-4.563249521881763
1,21,C4-PDT,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-1.096886447120768
1,22,PDT,True,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
2,2,RXT,False,False,False,top,-1.5,#204195,#204195,o,01-rxt,0.8615706268020155
2,4,RXT-T1,True,True,True,top,-5.5,#204195,#204195,o,12-ts-rxt-t1,10.107923996623459
2,6,T1,True,True,False,top,-1.5,#204195,#204195,o,13-t1,1.3742459375705436
2,8,T1-T2,True,True,True,bottom,1.5,#204195,#204195,o,14-ts-t1-t2,15.855911568080822
2,10,T2,True,True,False,top,-1.5,#204195,#204195,o,15-t2,-0.4656120932280868
2,11,T2 // H$_2$O,False,True,True,top,-1.5,#204195,#204195,x,diffusion,6.59449823281105
2,12,T2 + H$_2$O,True,True,False,top,-1.5,#204195,#204195,o,16-t2-h2o,3.128135158050055
2,13,T2-T3,True,True,True,bottom,1.5,#204195,#204195,o,17-ts-t2-t3,14.273959967098115
2,14,T3 + B(OH)$_3$,True,True,False,top,-1.5,#204195,#204195,o,18-t3-boh3,1.6641553538072758
2,15,T3 // B(OH)$_3$,False,True,True,top,-1.5,#204195,#204195,x,diffusion,5.13051842856827
2,16,T3,True,True,False,top,-1.5,#204195,#204195,o,19-t3,-1.0040152961150843
2,18,T3-T4,True,True,True,bottom,1.5,#204195,#204195,o,20-ts-t3-t4,14.536886472812483
2,20,T4,True,True,False,top,-1.5,#204195,#204195,o,21-t4,-11.616456978745308
2,21,T4-PDT,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-8.150093903984313
2,22,PDT,False,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
