line,point,label_name,is_label,is_point,is_TS,vertical_alignment,vertical_offset,line_color,point_color,point_marker,structure,reference_gibbs
0,0,[LPd(OH)$_2$]$_2$,True,True,False,top,-1.5,black,black,o,00-lpdoh2,0.0
0,1,Pd-RXT,False,True,True,top,-1.5,black,black,x,diffusion,5.719749905634185
0,2,RXT,True,True,False,top,-1.5,black,black,o,01-rxt,2.2533868308731897
1,2,RXT,False,False,False,top,-1.5,#C04A1B,#C04A1B,o,01-rxt,2.2533868308731897
1,4,RXT-C1,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,02-ts-rxt-c1,16.3083459606487
1,6,C1,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,03-c1,5.909257528813898
1,8,C1-C2,True,True,True,top,-5.5,#C04A1B,#C04A1B,o,04-ts-c1-c2,10.564123446685887
1,10,C2,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,05-c2,-25.12234524377891
1,11,C2 // H$_2$O,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-18.90247021883446
1,12,C2 + H$_2$O,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,06-c2-h2o,-22.368833293595454
1,13,C2-C3,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,07-ts-c2-c3,-15.343863766799599
1,14,C3 + B(OH)$_3$,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,08-c3-boh3,-21.638412165620366
1,15,C3 // B(OH)$_3$,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-13.613192135674105
1,16,C3,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,09-c3,-17.0795552104351
1,18,C3-C4,True,True,True,top,-7.5,#C04A1B,#C04A1B,o,10-ts-c3-c4,10.753003824052092
1,20,C4,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,11-c4,-1.0818264816724394
1,21,C4-PDT,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,2.384536593088555
1,22,PDT,True,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
2,2,RXT,False,False,False,top,-1.5,#204195,#204195,o,01-rxt,2.2533868308731897
2,4,RXT-T1,True,True,True,top,-5.5,#204195,#204195,o,12-ts-rxt-t1,11.12009691692959
2,6,T1,True,True,False,top,-1.5,#204195,#204195,o,13-t1,4.476025693158749
2,8,T1-T2,True,True,True,bottom,1.5,#204195,#204195,o,14-ts-t1-t2,16.223004660672963
2,10,T2,True,True,False,top,-1.5,#204195,#204195,o,15-t2,1.7162386472461615
2,11,T2 // H$_2$O,False,True,True,top,-1.5,#204195,#204195,x,diffusion,9.356167806900196
2,12,T2 + H$_2$O,True,True,False,top,-1.5,#204195,#204195,o,16-t2-h2o,5.889804732139201
2,13,T2-T3,True,True,True,bottom,1.5,#204195,#204195,o,17-ts-t2-t3,16.74195506688526
2,14,T3 + B(OH)$_3$,True,True,False,top,-1.5,#204195,#204195,o,18-t3-boh3,8.680339746639419
2,15,T3 // B(OH)$_3$,False,True,True,top,-1.5,#204195,#204195,x,diffusion,12.146702821400414
2,16,T3,True,True,False,top,-1.5,#204195,#204195,o,19-t3,1.8386030112533027
2,18,T3-T4,True,True,True,bottom,1.5,#204195,#204195,o,20-ts-t3-t4,19.506134679779706
2,20,T4,True,True,False,top,-1.5,#204195,#204195,o,21-t4,-6.502254063089004
2,21,T4-PDT,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-3.0358909883280094
2,22,PDT,False,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
