I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
100-l2pd2oh4,,00-lpdoh2,00-lpdoh2,-2649.958744,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
00-lpdoh2,naphboh2,01-rxt,,-1886.126157,True,diffusion-lpdoh2-rxt,2.2533868308731897,0.0
01-rxt,,03-c1,,-1886.103759,True,02-ts-rxt-c1,14.05495912991819,10.39908843212016
03-c1,,05-c2,,-1886.112913,True,04-ts-c1-c2,4.65486591787199,35.686468690322116
05-c2,h2o,09-c3,boh3,-1962.522594,True,07-ts-c2-c3,9.77848147712199,1.7356914434928212
09-c3,,11-c4,,-1710.208599,True,10-ts-c3-c4,27.832559034344513,11.83483030586721
11-c4,,naph-c,00-lpdoh2,-1710.227459,True,diffusion-c4-pdt,0.0,23.88615141010905
01-rxt,,13-t1,,-1886.112027,True,12-ts-rxt-t1,8.8667100860564,6.644071223770842
13-t1,,15-t2,,-1886.103895,True,14-ts-t1-t2,11.746978967514213,14.5067660134268
15-t2,h2o,19-t3,boh3,-1962.471462,True,17-ts-t2-t3,15.02571641978178,14.90335205548928
19-t3,,21-t4,,-1710.19465,True,20-ts-t3-t4,17.667531668383724,26.008388742868707
21-t4,,naph-t,00-lpdoh2,-1710.236097,True,diffusion-t4-pdt,0.0,18.465723828835166
