line,point,label_name,is_label,is_point,is_TS,vertical_alignment,vertical_offset,line_color,point_color,point_marker,structure,reference_gibbs
0,0,[LPd(OH)$_2$]$_2$,True,True,False,top,-1.5,black,black,o,00-lpdoh2,0.0
0,1,Pd-RXT,False,True,True,top,-1.5,black,black,x,diffusion,3.4663630747609946
0,2,RXT,True,True,False,top,-1.5,black,black,o,01-rxt,-0.35956297788839836
1,2,RXT,False,False,False,top,-1.5,#C04A1B,#C04A1B,o,01-rxt,-0.35956297788839836
1,4,RXT-C1,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,02-ts-rxt-c1,12.221376195276727
1,6,C1,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,03-c1,7.538272347337046
1,8,C1-C2,True,True,True,top,-5.5,#C04A1B,#C04A1B,o,04-ts-c1-c2,12.198785850880144
1,10,C2,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,05-c2,-26.32528107048388
1,11,C2 // H$_2$O,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-20.171294549696544
1,12,C2 + H$_2$O,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,06-c2-h2o,-23.63765762445754
1,13,C2-C3,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,07-ts-c2-c3,-18.17518690254041
1,14,C3 + B(OH)$_3$,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,08-c3-boh3,-22.15171498559084
1,15,C3 // B(OH)$_3$,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-16.31022822543682
1,16,C3,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,09-c3,-19.776591300197815
1,18,C3-C4,True,True,True,top,-7.5,#C04A1B,#C04A1B,o,10-ts-c3-c4,9.816759560270683
1,20,C4,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,11-c4,0.6739452675543469
1,21,C4-PDT,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,4.1403083423153415
1,22,PDT,True,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
2,2,RXT,False,False,False,top,-1.5,#204195,#204195,o,01-rxt,-0.35956297788839836
2,4,RXT-T1,True,True,True,top,-5.5,#204195,#204195,o,12-ts-rxt-t1,9.286513982145449
2,6,T1,True,True,False,top,-1.5,#204195,#204195,o,13-t1,2.1548678299518844
2,8,T1-T2,True,True,True,bottom,1.5,#204195,#204195,o,14-ts-t1-t2,12.759151888391061
2,10,T2,True,True,False,top,-1.5,#204195,#204195,o,15-t2,-1.234938814267211
2,11,T2 // H$_2$O,False,True,True,top,-1.5,#204195,#204195,x,diffusion,6.805341444801174
2,12,T2 + H$_2$O,True,True,False,top,-1.5,#204195,#204195,o,16-t2-h2o,3.338978370040179
2,13,T2-T3,True,True,True,bottom,1.5,#204195,#204195,o,17-ts-t2-t3,12.353780712222191
2,14,T3 + B(OH)$_3$,True,True,False,top,-1.5,#204195,#204195,o,18-t3-boh3,2.539531190471447
2,15,T3 // B(OH)$_3$,False,True,True,top,-1.5,#204195,#204195,x,diffusion,6.005894265232442
2,16,T3,True,True,False,top,-1.5,#204195,#204195,o,19-t3,-1.7714594884069335
2,18,T3-T4,True,True,True,bottom,1.5,#204195,#204195,o,20-ts-t3-t4,13.062239005858718
2,20,T4,True,True,False,top,-1.5,#204195,#204195,o,21-t4,-10.267311424376645
2,21,T4-PDT,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-6.80094834961565
2,22,PDT,False,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
