I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
100-l2pd2oh4,,00-lpdoh2,00-lpdoh2,-2495.348768,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
00-lpdoh2,naphboh2,01-rxt,,-1808.82476,True,diffusion-lpdoh2-rxt,0.0,0.3595629780310775
01-rxt,,03-c1,,-1808.805284,True,02-ts-rxt-c1,12.580939173022447,4.683103847939681
03-c1,,05-c2,,-1808.80532,True,04-ts-c1-c2,4.660513503828456,38.52406692164938
05-c2,h2o,09-c3,boh3,-1885.222118,True,07-ts-c2-c3,8.150094168371506,1.6014043976574037
09-c3,,11-c4,,-1632.905103,True,10-ts-c3-c4,29.59335086032582,9.142814292573657
11-c4,,naph-c,00-lpdoh2,-1632.919673,True,diffusion-c4-pdt,0.0,25.641923159621197
01-rxt,,13-t1,,-1808.809961,True,12-ts-rxt-t1,9.646076959891168,7.131646152050886
13-t1,,15-t2,,-1808.804427,True,14-ts-t1-t2,10.604284058296498,13.994090702658273
15-t2,h2o,19-t3,boh3,-1885.173467,True,17-ts-t2-t3,13.58871952677476,14.125240200629124
19-t3,,21-t4,,-1632.899931,True,20-ts-t3-t4,14.83369849426565,23.32955043023536
21-t4,,naph-t,00-lpdoh2,-1632.937109,True,diffusion-t4-pdt,0.0,14.700666467547524
