I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
99-l2pd2oh4,,00-lpdoh2,00-lpdoh2,-3561.804793,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
00-lpdoh2,naphboh2,01-rxt,,-2342.048778,True,diffusion-lpdoh2-rxt,2.5065869385355675,0.0
01-rxt,,03-c1,,-2342.023692,True,02-ts-rxt-c1,15.741704827694011,11.587591539190312
03-c1,,05-c2,,-2342.028429,True,04-ts-c1-c2,8.615078752540324,43.081041348087375
05-c2,h2o,09-c3,boh3,-2418.442519,True,07-ts-c2-c3,14.406364483758221,7.29856369493585
09-c3,,11-c4,,-2166.125956,True,10-ts-c3-c4,35.00687583666863,15.04767925426302
11-c4,,naphh-c,00-lpdoh2,-2166.149936,True,diffusion-c4-pdt,0.0,24.229712894359007
01-rxt,,13-t1,,-2342.029552,True,12-ts-rxt-t1,12.064498804902048,11.598259201615939
13-t1,,15-t2,,-2342.028467,True,14-ts-t1-t2,12.279107074386722,17.380132289668175
15-t2,h2o,19-t3,boh3,-2418.396748,True,17-ts-t2-t3,17.451040870009095,16.348506572401988
19-t3,,21-t4,,-2166.120137,True,20-ts-t3-t4,18.98655676379474,25.5666220124411
21-t4,,naphh-t,00-lpdoh2,-2166.16088,True,diffusion-t4-pdt,0.0,17.36224826713978
