line,point,label_name,is_label,is_point,is_TS,vertical_alignment,vertical_offset,line_color,point_color,point_marker,structure,reference_gibbs
0,0,[LPd(OH)$_2$]$_2$,True,True,False,top,-1.5,black,black,o,00-lpdoh2,0.0
0,1,Pd-RXT,False,True,True,top,-1.5,black,black,x,diffusion,4.503636377412931
0,2,RXT,True,True,False,top,-1.5,black,black,o,01-rxt,1.037273302651937
1,2,RXT,False,False,False,top,-1.5,#C04A1B,#C04A1B,o,01-rxt,1.037273302651937
1,4,RXT-C1,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,02-ts-rxt-c1,16.484048637640054
1,6,C1,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,03-c1,6.856796964222882
1,8,C1-C2,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,04-ts-c1-c2,13.459452557265825
1,10,C2,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,05-c2,-30.28172884822838
1,11,C2 // H$_2$O,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-21.751363621931976
1,12,C2 + H$_2$O,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,06-c2-h2o,-25.21772669669297
1,13,C2-C3,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,07-ts-c2-c3,-17.380132289953533
1,14,C3 + B(OH)$_3$,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,08-c3-boh3,-21.585701362408816
1,15,C3 // B(OH)$_3$,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-16.38678439144885
1,16,C3,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,09-c3,-19.853147466209844
1,18,C3-C4,True,True,True,top,-7.5,#C04A1B,#C04A1B,o,10-ts-c3-c4,12.725893881283492
1,20,C4,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,11-c4,-0.7536389818589772
1,21,C4-PDT,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,2.7127240929020173
1,22,PDT,True,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
2,2,RXT,False,False,False,top,-1.5,#204195,#204195,o,01-rxt,1.037273302651937
2,4,RXT-T1,True,True,True,top,-5.5,#204195,#204195,o,12-ts-rxt-t1,11.846125477922824
2,6,T1,True,True,False,top,-1.5,#204195,#204195,o,13-t1,0.8898085562989904
2,8,T1-T2,True,True,True,top,-5.5,#204195,#204195,o,14-ts-t1-t2,12.703303536886908
2,10,T2,True,True,False,top,-1.5,#204195,#204195,o,15-t2,-4.026728848312756
2,11,T2 // H$_2$O,False,True,True,top,-1.5,#204195,#204195,x,diffusion,2.7886527497120976
2,12,T2 + H$_2$O,True,True,False,top,-1.5,#204195,#204195,o,16-t2-h2o,-0.6777103250488969
2,13,T2-T3,True,True,True,bottom,1.5,#204195,#204195,o,17-ts-t2-t3,16.135153322177285
2,14,T3 + B(OH)$_3$,True,True,False,top,-1.5,#204195,#204195,o,18-t3-boh3,-4.843746295523553
2,15,T3 // B(OH)$_3$,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-0.7831316669421251
2,16,T3,True,True,False,top,-1.5,#204195,#204195,o,19-t3,-4.24949474170312
2,18,T3-T4,True,True,True,bottom,1.5,#204195,#204195,o,20-ts-t3-t4,17.09524294904453
2,20,T4,True,True,False,top,-1.5,#204195,#204195,o,21-t4,-10.632521988506868
2,21,T4-PDT,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-7.166158913745873
2,22,PDT,False,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
