line,point,label_name,is_label,is_point,is_TS,vertical_alignment,vertical_offset,line_color,point_color,point_marker,structure,reference_gibbs
0,0,[LPd(OH)$_2$]$_2$,True,True,False,top,-1.5,black,black,o,00-lpdoh2,0.0
0,1,Pd-RXT,False,True,True,top,-1.5,black,black,x,diffusion,8.602528825041219
0,2,RXT,True,True,False,top,-1.5,black,black,o,01-rxt,5.136165750280224
1,2,RXT,False,False,False,top,-1.5,#C04A1B,#C04A1B,o,01-rxt,5.136165750280224
1,4,RXT-C1,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,02-ts-rxt-c1,14.673683556454444
1,6,C1,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,03-c1,5.993343809815025
1,8,C1-C2,True,True,True,top,-5.5,#C04A1B,#C04A1B,o,04-ts-c1-c2,10.695900453858687
1,10,C2,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,05-c2,-27.2163446463282
1,11,C2 // H$_2$O,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-19.73768544345998
1,12,C2 + H$_2$O,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,06-c2-h2o,-23.204048518220976
1,13,C2-C3,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,07-ts-c2-c3,-17.510654278151723
1,14,C3 + B(OH)$_3$,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,08-c3-boh3,-21.966599665433826
1,15,C3 // B(OH)$_3$,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-18.343986710356173
1,16,C3,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,09-c3,-21.810349785117168
1,18,C3-C4,True,True,True,top,-7.5,#C04A1B,#C04A1B,o,10-ts-c3-c4,10.972632170005928
1,20,C4,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,11-c4,-3.307602891965243
1,21,C4-PDT,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,0.15876018279575144
1,22,PDT,True,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
2,2,RXT,False,False,False,top,-1.5,#204195,#204195,o,01-rxt,5.136165750280224
2,4,RXT-T1,True,True,True,top,-5.5,#204195,#204195,o,12-ts-rxt-t1,13.628880138813408
2,6,T1,True,True,False,top,-1.5,#204195,#204195,o,13-t1,4.390056883410346
2,8,T1-T2,True,True,True,bottom,1.5,#204195,#204195,o,14-ts-t1-t2,14.834326004038315
2,10,T2,True,True,False,top,-1.5,#204195,#204195,o,15-t2,-3.53476135262282
2,11,T2 // H$_2$O,False,True,True,top,-1.5,#204195,#204195,x,diffusion,0.758659322287293
2,12,T2 + H$_2$O,True,True,False,top,-1.5,#204195,#204195,o,16-t2-h2o,-2.7077037524737015
2,13,T2-T3,True,True,True,bottom,1.5,#204195,#204195,o,17-ts-t2-t3,9.239450764605008
2,14,T3 + B(OH)$_3$,True,True,False,top,-1.5,#204195,#204195,o,18-t3-boh3,-0.6902605159364413
2,15,T3 // B(OH)$_3$,False,True,True,top,-1.5,#204195,#204195,x,diffusion,2.776102558824553
2,16,T3,True,True,False,top,-1.5,#204195,#204195,o,19-t3,-4.043671605896798
2,18,T3-T4,True,True,True,bottom,1.5,#204195,#204195,o,20-ts-t3-t4,15.40033962722034
2,20,T4,True,True,False,top,-1.5,#204195,#204195,o,21-t4,-7.301073733170431
2,21,T4-PDT,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-3.834710658409436
2,22,PDT,False,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
