line,point,label_name,is_label,is_point,is_TS,vertical_alignment,vertical_offset,line_color,point_color,point_marker,structure,reference_gibbs
0,0,[LPd(OH)$_2$]$_2$,True,True,False,top,-1.5,black,black,o,00-lpdoh2,0.0
0,1,Pd-RXT,False,True,True,top,-1.5,black,black,x,diffusion,6.368594790557367
0,2,RXT,True,True,False,top,-1.5,black,black,o,01-rxt,2.902231715796373
1,2,RXT,False,False,False,top,-1.5,#C04A1B,#C04A1B,o,01-rxt,2.902231715796373
1,4,RXT-C1,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,02-ts-rxt-c1,15.85277401978822
1,6,C1,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,03-c1,7.714602533530348
1,8,C1-C2,True,True,True,top,-5.5,#C04A1B,#C04A1B,o,04-ts-c1-c2,12.98756536802325
1,10,C2,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,05-c2,-23.09172430715216
1,11,C2 // H$_2$O,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-19.625361232391164
1,12,C2 + H$_2$O,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,06-c2-h2o,-23.296292423413153
1,13,C2-C3,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,07-ts-c2-c3,-16.037261830743287
1,14,C3 + B(OH)$_3$,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,08-c3-boh3,-23.563611496394735
1,15,C3 // B(OH)$_3$,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-15.757392302915004
1,16,C3,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,09-c3,-19.223755377676
1,18,C3-C4,True,True,True,top,-7.5,#C04A1B,#C04A1B,o,10-ts-c3-c4,13.803955306032098
1,20,C4,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,11-c4,-3.2122214390511825
1,21,C4-PDT,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,0.2541416357098121
1,22,PDT,True,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
2,2,RXT,False,False,False,top,-1.5,#204195,#204195,o,01-rxt,2.902231715796373
2,4,RXT-T1,True,True,True,top,-5.5,#204195,#204195,o,12-ts-rxt-t1,13.536636233050515
2,6,T1,True,True,False,top,-1.5,#204195,#204195,o,13-t1,3.770704947244108
2,8,T1-T2,True,True,True,bottom,1.5,#204195,#204195,o,14-ts-t1-t2,13.91690702687358
2,10,T2,True,True,False,top,-1.5,#204195,#204195,o,15-t2,-2.788024975980279
2,11,T2 // H$_2$O,False,True,True,top,-1.5,#204195,#204195,x,diffusion,1.120732338410272
2,12,T2 + H$_2$O,True,True,False,top,-1.5,#204195,#204195,o,16-t2-h2o,-2.3456307363507225
2,13,T2-T3,True,True,True,bottom,1.5,#204195,#204195,o,17-ts-t2-t3,13.71233891004187
2,14,T3 + B(OH)$_3$,True,True,False,top,-1.5,#204195,#204195,o,18-t3-boh3,-4.046181644416737
2,15,T3 // B(OH)$_3$,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-0.4536891481540515
2,16,T3,True,True,False,top,-1.5,#204195,#204195,o,19-t3,-3.920052222915046
2,18,T3-T4,True,True,True,bottom,1.5,#204195,#204195,o,20-ts-t3-t4,15.490073494463292
2,20,T4,True,True,False,top,-1.5,#204195,#204195,o,21-t4,-5.377756931143336
2,21,T4-PDT,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-1.9113938563823418
2,22,PDT,False,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
