I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
99-l2pd2oh4,,00-lpdoh2,00-lpdoh2,-2873.513571,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
00-lpdoh2,naphboh2,01-rxt,,-1997.904679,True,diffusion-lpdoh2-rxt,1.557792483295897,0.0
01-rxt,,03-c1,,-1997.883404,True,02-ts-rxt-c1,13.350265893918891,2.684485898732492
03-c1,,05-c2,,-1997.881179,True,04-ts-c1-c2,4.080694670213559,40.18696725619669
05-c2,h2o,09-c3,boh3,-2074.291278,True,07-ts-c2-c3,14.016681046769497,6.271958054424182
09-c3,,11-c4,,-1821.979991,True,10-ts-c3-c4,30.66952975632715,11.994217734333793
11-c4,,naphh-c,00-lpdoh2,-1821.999105,True,diffusion-c4-pdt,0.0,27.50531279861933
01-rxt,,13-t1,,-1997.884028,True,12-ts-rxt-t1,12.958699928325572,11.246853848061267
13-t1,,15-t2,,-1997.884698,True,14-ts-t1-t2,10.826422442627592,17.859549593614492
15-t2,h2o,19-t3,boh3,-2074.255293,True,17-ts-t2-t3,16.47840105139823,17.497476577491515
19-t3,,21-t4,,-1821.980728,True,20-ts-t3-t4,18.85164220847202,23.509645674065894
21-t4,,naphh-t,00-lpdoh2,-1822.018193,True,diffusion-t4-pdt,0.0,15.52741031295299
