line,point,label_name,is_label,is_point,is_TS,vertical_alignment,vertical_offset,line_color,point_color,point_marker,structure,reference_gibbs
0,0,[LPd(OH)$_2$]$_2$,TRUE,TRUE,FALSE,top,-1.5,black,black,o,00-lpdoh2,-0.32222616
0,1,Pd-RXT,FALSE,TRUE,TRUE,top,-1.5,black,black,x,diffusion,3.466363075
0,2,RXT,TRUE,TRUE,FALSE,top,-1.5,black,black,o,01-rxt,0
1,2,RXT,FALSE,FALSE,FALSE,top,-1.5,#C04A1B,#C04A1B,o,01-rxt,0
1,4,RXT-C1,TRUE,TRUE,TRUE,bottom,1.5,#C04A1B,#C04A1B,o,02-ts-rxt-c1,15.53462667
1,6,C1,TRUE,TRUE,FALSE,bottom,1.5,#C04A1B,#C04A1B,o,03-c1,4.663651052
1,8,C1-C2,TRUE,TRUE,TRUE,top,-5.5,#C04A1B,#C04A1B,o,04-ts-c1-c2,8.798311544
1,10,C2,TRUE,TRUE,FALSE,top,-1.5,#C04A1B,#C04A1B,o,05-c2,-27.03499438
1,11,C2 // H$_2$O,FALSE,TRUE,TRUE,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-23.46885729
1,12,C2 + H$_2$O,TRUE,TRUE,FALSE,top,-1.5,#C04A1B,#C04A1B,o,06-c2-h2o,-26.93522036
1,13,C2-C3,TRUE,TRUE,TRUE,bottom,1.5,#C04A1B,#C04A1B,o,07-ts-c2-c3,-21.1351495
1,14,C3 + B(OH)$_3$,TRUE,TRUE,FALSE,top,-1.5,#C04A1B,#C04A1B,o,08-c3-boh3,-27.08394013
1,15,C3 // B(OH)$_3$,FALSE,TRUE,TRUE,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-17.3129885
1,16,C3,TRUE,TRUE,FALSE,top,-1.5,#C04A1B,#C04A1B,o,09-c3,-20.77935158
1,18,C3-C4,TRUE,TRUE,TRUE,top,-7.5,#C04A1B,#C04A1B,o,10-ts-c3-c4,9.969244384
1,20,C4,TRUE,TRUE,FALSE,bottom,1.5,#C04A1B,#C04A1B,o,11-c4,-7.016184393
1,21,C4-PDT,FALSE,TRUE,TRUE,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-3.549821318
1,22,PDT,TRUE,TRUE,FALSE,top,-1.5,black,black,o,pdt,-25.29020405
2,2,RXT,FALSE,FALSE,FALSE,top,-1.5,#204195,#204195,o,01-rxt,0
2,4,RXT-T1,TRUE,TRUE,TRUE,top,-5.5,#204195,#204195,o,12-ts-rxt-t1,14.07378442
2,6,T1,TRUE,TRUE,FALSE,top,-1.5,#204195,#204195,o,13-t1,1.09814173
2,8,T1-T2,TRUE,TRUE,TRUE,bottom,1.5,#204195,#204195,o,14-ts-t1-t2,14.3153756
2,10,T2,TRUE,TRUE,FALSE,top,-1.5,#204195,#204195,o,15-t2,-5.129890655
2,11,T2 // H$_2$O,FALSE,TRUE,TRUE,top,-1.5,#204195,#204195,x,diffusion,1.891314078
2,12,T2 + H$_2$O,TRUE,TRUE,FALSE,top,-1.5,#204195,#204195,o,16-t2-h2o,-1.575048996
2,13,T2-T3,TRUE,TRUE,TRUE,bottom,1.5,#204195,#204195,o,17-ts-t2-t3,11.38616097
2,14,T3 + B(OH)$_3$,TRUE,TRUE,FALSE,top,-1.5,#204195,#204195,o,18-t3-boh3,-3.603159895
2,15,T3 // B(OH)$_3$,FALSE,TRUE,TRUE,top,-1.5,#204195,#204195,x,diffusion,-0.13679682
2,16,T3,TRUE,TRUE,FALSE,top,-1.5,#204195,#204195,o,19-t3,-5.133028203
2,18,T3-T4,TRUE,TRUE,TRUE,bottom,1.5,#204195,#204195,o,20-ts-t3-t4,15.00877366
2,20,T4,TRUE,TRUE,FALSE,top,-1.5,#204195,#204195,o,21-t4,-10.14180951
2,21,T4-PDT,FALSE,TRUE,TRUE,top,-1.5,#204195,#204195,x,diffusion,-6.675446438
2,22,PDT,FALSE,TRUE,FALSE,top,-1.5,black,black,o,pdt,-25.29020405
