I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
99-l2pd2oh4,,00-lpdoh2,00-lpdoh2,-3062.512859,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
00-lpdoh2,naphboh2,01-rxt,,-2092.398817,True,diffusion-lpdoh2-rxt,5.012860121899445,0.0
01-rxt,,03-c1,,-2092.378699,True,02-ts-rxt-c1,12.6242373326403,3.5102884800496783
03-c1,,05-c2,,-2092.377071,True,04-ts-c1-c2,4.531874044092185,40.95880401547039
05-c2,h2o,09-c3,boh3,-2168.790174,True,07-ts-c2-c3,12.903479087022122,5.523966658521672
09-c3,,11-c4,,-1916.475474,True,10-ts-c3-c4,32.063228489430955,11.986687619487371
11-c4,,naphh-c,00-lpdoh2,-1916.494576,True,diffusion-c4-pdt,0.0,30.123910193480064
01-rxt,,13-t1,,-2092.382005,True,12-ts-rxt-t1,10.549690726480351,11.927074211202065
13-t1,,15-t2,,-2092.381633,True,14-ts-t1-t2,12.160507767588772,18.1174560228597
15-t2,h2o,19-t3,boh3,-2168.749761,True,17-ts-t2-t3,18.284373565887343,19.24195315480537
19-t3,,21-t4,,-1916.478037,True,20-ts-t3-t4,18.813364125180644,22.953044694049527
21-t4,,naphh-t,00-lpdoh2,-1916.514615,True,diffusion-t4-pdt,0.0,17.549246116044067
