line,point,label_name,is_label,is_point,is_TS,vertical_alignment,vertical_offset,line_color,point_color,point_marker,structure,reference_gibbs
0,0,[LPd(OH)$_2$]$_2$,True,True,False,top,-1.5,black,black,o,00-lpdoh2,0.0
0,1,Pd-RXT,False,True,True,top,-1.5,black,black,x,diffusion,4.795742078424704
0,2,RXT,True,True,False,top,-1.5,black,black,o,01-rxt,1.3293790036637092
1,2,RXT,False,False,False,top,-1.5,#C04A1B,#C04A1B,o,01-rxt,1.3293790036637092
1,4,RXT-C1,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,02-ts-rxt-c1,15.360492770353384
1,6,C1,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,03-c1,6.774279457653415
1,8,C1-C2,True,True,True,top,-5.5,#C04A1B,#C04A1B,o,04-ts-c1-c2,10.305903262554349
1,10,C2,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,05-c2,-27.200970661463664
1,11,C2 // H$_2$O,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-22.674116429881487
1,12,C2 + H$_2$O,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,06-c2-h2o,-26.14047950464248
1,13,C2-C3,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,07-ts-c2-c3,-20.288325346307346
1,14,C3 + B(OH)$_3$,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,08-c3-boh3,-25.89198571913365
1,15,C3 // B(OH)$_3$,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-16.463026803145258
1,16,C3,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,09-c3,-19.929389877906253
1,18,C3-C4,True,True,True,top,-7.5,#C04A1B,#C04A1B,o,10-ts-c3-c4,12.731227713209702
1,20,C4,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,11-c4,-2.3986552938778876
1,21,C4-PDT,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,1.067707780883107
1,22,PDT,True,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
2,2,RXT,False,False,False,top,-1.5,#204195,#204195,o,01-rxt,1.3293790036637092
2,4,RXT-T1,True,True,True,top,-5.5,#204195,#204195,o,12-ts-rxt-t1,13.641744084587284
2,6,T1,True,True,False,top,-1.5,#204195,#204195,o,13-t1,1.2214473592913875
2,8,T1-T2,True,True,True,bottom,1.5,#204195,#204195,o,14-ts-t1-t2,12.807783879221729
2,10,T2,True,True,False,top,-1.5,#204195,#204195,o,15-t2,-4.260476158729721
2,11,T2 // H$_2$O,False,True,True,top,-1.5,#204195,#204195,x,diffusion,5.5223981491906
2,12,T2 + H$_2$O,True,True,False,top,-1.5,#204195,#204195,o,16-t2-h2o,2.0560350744296056
2,13,T2-T3,True,True,True,bottom,1.5,#204195,#204195,o,17-ts-t2-t3,11.735997550487612
2,14,T3 + B(OH)$_3$,True,True,False,top,-1.5,#204195,#204195,o,18-t3-boh3,-2.2486805084342856
2,15,T3 // B(OH)$_3$,False,True,True,top,-1.5,#204195,#204195,x,diffusion,1.217682566326709
2,16,T3,True,True,False,top,-1.5,#204195,#204195,o,19-t3,-4.263613707022324
2,18,T3-T4,True,True,True,bottom,1.5,#204195,#204195,o,20-ts-t3-t4,15.322842196549317
2,20,T4,True,True,False,top,-1.5,#204195,#204195,o,21-t4,-8.881456560292195
2,21,T4-PDT,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-5.4150934855312
2,22,PDT,False,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
