I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
100-l2pd2oh4,,00-lpdoh2,00-lpdoh2,-3182.729423,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
00-lpdoh2,naphboh2,01-rxt,,-2152.512969,True,diffusion-lpdoh2-rxt,1.3293790033783508,0.0
01-rxt,,03-c1,,-2152.490609,True,02-ts-rxt-c1,14.031113766689675,8.58621331269997
03-c1,,05-c2,,-2152.498664,True,04-ts-c1-c2,3.5316238049009336,37.50687392430337
05-c2,h2o,09-c3,boh3,-2228.915813,True,07-ts-c2-c3,6.912645315441677,-0.3589354684010928
09-c3,,11-c4,,-1976.590786,True,10-ts-c3-c4,32.6606175908306,15.129883006659552
11-c4,,naph-c,00-lpdoh2,-1976.614897,True,diffusion-c4-pdt,0.0,22.56932259804628
01-rxt,,13-t1,,-2152.493348,True,12-ts-rxt-t1,12.312365081208933,12.420296725581254
13-t1,,15-t2,,-2152.494677,True,14-ts-t1-t2,11.586336519930342,17.068260038236808
15-t2,h2o,19-t3,boh3,-2228.864779,True,17-ts-t2-t3,15.996473709502691,15.999611257224577
19-t3,,21-t4,,-1976.586656,True,20-ts-t3-t4,19.586455903428963,24.204298757269548
21-t4,,naph-t,00-lpdoh2,-1976.625228,True,diffusion-t4-pdt,0.0,16.086521331203937
