I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
100-l2pd2oh4,,00-lpdoh2,00-lpdoh2,-3875.705776,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
00-lpdoh2,naphboh2,01-rxt,,-2499.001611,True,diffusion-lpdoh2-rxt,1.0372733029372954,0.0
01-rxt,,03-c1,,-2498.976995,True,02-ts-rxt-c1,15.44677533470276,9.627251673131815
03-c1,,05-c2,,-2498.981815,True,04-ts-c1-c2,6.602655592757584,43.74118140520885
05-c2,h2o,09-c3,boh3,-2575.399355,True,07-ts-c2-c3,12.901596558274846,2.4730151768270248
09-c3,,11-c4,,-2323.078971,True,10-ts-c3-c4,32.57904134806405,13.479532863427828
11-c4,,naph-c,00-lpdoh2,-2323.100452,True,diffusion-c4-pdt,0.0,24.21433891006519
01-rxt,,13-t1,,-2498.984386,True,12-ts-rxt-t1,10.808852174985528,10.956316921623833
13-t1,,15-t2,,-2498.98302,True,14-ts-t1-t2,11.813494980873276,16.730032385199664
15-t2,h2o,19-t3,boh3,-2575.345945,True,17-ts-t2-t3,20.161882170204684,20.384648063880405
19-t3,,21-t4,,-2323.072008,True,20-ts-t3-t4,21.344737691033007,27.727764937836756
21-t4,,naph-t,00-lpdoh2,-2323.116195,True,diffusion-t4-pdt,0.0,14.335455903417301
