line,point,label_name,is_label,is_point,is_TS,vertical_alignment,vertical_offset,line_color,point_color,point_marker,structure,reference_gibbs
0,0,[LPd(OH)$_2$]$_2$,True,True,False,top,-1.5,black,black,o,00-lpdoh2,0.0
0,1,Pd-RXT,False,True,True,top,-1.5,black,black,x,diffusion,5.5945617485061305
0,2,RXT,True,True,False,top,-1.5,black,black,o,01-rxt,2.128198673745136
1,2,RXT,False,False,False,top,-1.5,#C04A1B,#C04A1B,o,01-rxt,2.128198673745136
1,4,RXT-C1,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,02-ts-rxt-c1,15.721310767501752
1,6,C1,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,03-c1,12.377939830479717
1,8,C1-C2,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,04-ts-c1-c2,16.97570237844366
1,10,C2,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,05-c2,-24.496404457282566
1,11,C2 // H$_2$O,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-17.456374437120076
1,12,C2 + H$_2$O,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,06-c2-h2o,-20.92273751188107
1,13,C2-C3,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,07-ts-c2-c3,-10.761475202844114
1,14,C3 + B(OH)$_3$,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,08-c3-boh3,-17.43817692394986
1,15,C3 // B(OH)$_3$,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-13.403290187486903
1,16,C3,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,09-c3,-16.869653262247898
1,18,C3-C4,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,10-ts-c3-c4,17.255571642312788
1,20,C4,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,11-c4,4.731735839341066
1,21,C4-PDT,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,8.19809891410206
1,22,PDT,True,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
2,2,RXT,False,False,False,top,-1.5,#204195,#204195,o,01-rxt,2.128198673745136
2,4,RXT-T1,True,True,True,top,-5.5,#204195,#204195,o,12-ts-rxt-t1,14.052762846997979
2,6,T1,True,True,False,top,-1.5,#204195,#204195,o,13-t1,2.3986552944486044
2,8,T1-T2,True,True,True,top,-5.5,#204195,#204195,o,14-ts-t1-t2,14.144379242988206
2,10,T2,True,True,False,top,-1.5,#204195,#204195,o,15-t2,-3.595943534341032
2,11,T2 // H$_2$O,False,True,True,top,-1.5,#204195,#204195,x,diffusion,5.125184597783494
2,12,T2 + H$_2$O,True,True,False,top,-1.5,#204195,#204195,o,16-t2-h2o,1.6588215230224994
2,13,T2-T3,True,True,True,bottom,1.5,#204195,#204195,o,17-ts-t2-t3,13.131578812338693
2,14,T3 + B(OH)$_3$,True,True,False,top,-1.5,#204195,#204195,o,18-t3-boh3,1.2597254422974011
2,15,T3 // B(OH)$_3$,False,True,True,top,-1.5,#204195,#204195,x,diffusion,4.726088517058396
2,16,T3,True,True,False,top,-1.5,#204195,#204195,o,19-t3,-4.3583676501637205
2,18,T3-T4,True,True,True,top,-7.5,#204195,#204195,o,20-ts-t3-t4,14.3075317285213
2,20,T4,True,True,False,top,-1.5,#204195,#204195,o,21-t4,-8.270889758089666
2,21,T4-PDT,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-4.804526683328671
2,22,PDT,False,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
