I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
100-l2pd2oh4,,00-lpdoh2,00-lpdoh2,-2795.041181,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
00-lpdoh2,naphboh2,01-rxt,,-1958.667575,True,diffusion-lpdoh2-rxt,2.1281986736024567,0.0
01-rxt,,03-c1,,-1958.645913,True,02-ts-rxt-c1,13.593112093613936,3.3433709368793556
03-c1,,05-c2,,-1958.643914,True,04-ts-c1-c2,4.597762547821263,41.472106835583546
05-c2,h2o,09-c3,boh3,-2035.05651,True,07-ts-c2-c3,13.734929254438454,6.108178059261104
09-c3,,11-c4,,-1782.739455,True,10-ts-c3-c4,34.125224904418005,12.5238358031144
11-c4,,naph-c,00-lpdoh2,-1782.759413,True,diffusion-c4-pdt,0.0,29.699713730837196
01-rxt,,13-t1,,-1958.648572,True,12-ts-rxt-t1,11.924564172967484,11.654107552549375
13-t1,,15-t2,,-1958.648426,True,14-ts-t1-t2,11.745723948396922,17.740322777329236
15-t2,h2o,19-t3,boh3,-2035.018434,True,17-ts-t2-t3,16.727522347107765,17.489946462645094
19-t3,,21-t4,,-1782.744153,True,20-ts-t3-t4,18.665899378542342,22.578421486610967
21-t4,,naph-t,00-lpdoh2,-1782.780134,True,diffusion-t4-pdt,0.0,16.697088133263787
