line,point,label_name,is_label,is_point,is_TS,vertical_alignment,vertical_offset,line_color,point_color,point_marker,structure,reference_gibbs
0,0,[LPd(OH)$_2$]$_2$,True,True,False,top,-1.5,black,black,o,00-lpdoh2,0.0
0,1,Pd-RXT,False,True,True,top,-1.5,black,black,x,diffusion,5.024155558056892
0,2,RXT,True,True,False,top,-1.5,black,black,o,01-rxt,1.557792483295897
1,2,RXT,False,False,False,top,-1.5,#C04A1B,#C04A1B,o,01-rxt,1.557792483295897
1,4,RXT-C1,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,02-ts-rxt-c1,14.908058377214788
1,6,C1,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,03-c1,12.223572478339618
1,8,C1-C2,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,04-ts-c1-c2,16.304267148553176
1,10,C2,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,05-c2,-23.88270010764351
1,11,C2 // H$_2$O,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-15.091290904665371
1,12,C2 + H$_2$O,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,06-c2-h2o,-18.557653979426366
1,13,C2-C3,True,True,True,top,-4.5,#C04A1B,#C04A1B,o,07-ts-c2-c3,-9.866019060874015
1,14,C3 + B(OH)$_3$,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,08-c3-boh3,-18.080119204227323
1,15,C3 // B(OH)$_3$,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-12.6716140405372
1,16,C3,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,09-c3,-16.137977115298195
1,18,C3-C4,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,10-ts-c3-c4,14.531552640886273
1,20,C4,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,11-c4,2.5373349065524815
1,21,C4-PDT,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,6.003697981313476
1,22,PDT,True,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
2,2,RXT,False,False,False,top,-1.5,#204195,#204195,o,01-rxt,1.557792483295897
2,4,RXT-T1,True,True,True,top,-5.5,#204195,#204195,o,12-ts-rxt-t1,14.51649241147879
2,6,T1,True,True,False,top,-1.5,#204195,#204195,o,13-t1,3.269638563560203
2,8,T1-T2,True,True,True,top,-5.5,#204195,#204195,o,14-ts-t1-t2,14.096061006187796
2,10,T2,True,True,False,top,-1.5,#204195,#204195,o,15-t2,-3.763488587426698
2,11,T2 // H$_2$O,False,True,True,top,-1.5,#204195,#204195,x,diffusion,4.426138947027266
2,12,T2 + H$_2$O,True,True,False,top,-1.5,#204195,#204195,o,16-t2-h2o,0.959775872266272
2,13,T2-T3,True,True,True,bottom,1.5,#204195,#204195,o,17-ts-t2-t3,12.714912463971531
2,14,T3 + B(OH)$_3$,True,True,False,top,-1.5,#204195,#204195,o,18-t3-boh3,-5.205505557045558
2,15,T3 // B(OH)$_3$,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-1.316201038758988
2,16,T3,True,True,False,top,-1.5,#204195,#204195,o,19-t3,-4.782564113519983
2,18,T3-T4,True,True,True,top,-7.5,#204195,#204195,o,20-ts-t3-t4,14.069078095094715
2,20,T4,True,True,False,top,-1.5,#204195,#204195,o,21-t4,-9.440567579113859
2,21,T4-PDT,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-5.974204504352864
2,22,PDT,False,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
