I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
100-l2pd2oh4,,00-lpdoh2,00-lpdoh2,-3722.599526,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
00-lpdoh2,naphboh2,01-rxt,,-2422.448644,True,diffusion-lpdoh2-rxt,0.9381267925286846,0.0
01-rxt,,03-c1,,-2422.427174,True,02-ts-rxt-c1,13.47263025821139,2.199421008687029
03-c1,,05-c2,,-2422.426298,True,04-ts-c1-c2,2.74911938348696,40.39279039200301
05-c2,h2o,09-c3,boh3,-2498.837926,True,07-ts-c2-c3,13.26304206491052,5.511416467348769
09-c3,,11-c4,,-2246.521079,True,10-ts-c3-c4,33.39794132402212,12.23518140542424
11-c4,,naph-c,00-lpdoh2,-2246.540577,True,diffusion-c4-pdt,0.0,28.4500284416208
01-rxt,,13-t1,,-2422.427635,True,12-ts-rxt-t1,13.183348350891247,8.704812619497918
13-t1,,15-t2,,-2422.426129,True,14-ts-t1-t2,9.649842017243039,19.16665200776795
15-t2,h2o,19-t3,boh3,-2498.796725,True,17-ts-t2-t3,17.784875956064383,18.23856536789223
19-t3,,21-t4,,-2246.522767,True,20-ts-t3-t4,19.211832695990402,22.213210922480744
21-t4,,naph-t,00-lpdoh2,-2246.558166,True,diffusion-t4-pdt,0.0,17.412762787003082
