line,point,label_name,is_label,is_point,is_TS,vertical_alignment,vertical_offset,line_color,point_color,point_marker,structure,reference_gibbs
0,0,[LPd(OH)$_2$]$_2$,True,True,False,top,-1.5,black,black,o,00-lpdoh2,0.0
0,1,Pd-RXT,False,True,True,top,-1.5,black,black,x,diffusion,4.81237108169313
0,2,RXT,True,True,False,top,-1.5,black,black,o,01-rxt,1.3460080069321354
1,2,RXT,False,False,False,top,-1.5,#C04A1B,#C04A1B,o,01-rxt,1.3460080069321354
1,4,RXT-C1,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,02-ts-rxt-c1,15.92933018694168
1,6,C1,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,03-c1,6.397459967009285
1,8,C1-C2,True,True,True,top,-5.5,#C04A1B,#C04A1B,o,04-ts-c1-c2,11.223008484832752
1,10,C2,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,05-c2,-25.555954349444754
1,11,C2 // H$_2$O,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-19.15723910007242
1,12,C2 + H$_2$O,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,06-c2-h2o,-22.623602174833415
1,13,C2-C3,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,07-ts-c2-c3,-15.690249044027789
1,14,C3 + B(OH)$_3$,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,08-c3-boh3,-22.150459966045513
1,15,C3 // B(OH)$_3$,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-14.504255710947707
1,16,C3,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,09-c3,-17.9706187857087
1,18,C3-C4,True,True,True,top,-7.5,#C04A1B,#C04A1B,o,10-ts-c3-c4,11.475267327836134
1,20,C4,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,11-c4,-0.5013801382848783
1,21,C4-PDT,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,2.964982936476116
1,22,PDT,True,True,False,top,-1.5,black,black,o,pdt,-26.132008126189323
2,2,RXT,False,False,False,top,-1.5,#204195,#204195,o,01-rxt,1.3460080069321354
2,4,RXT-T1,True,True,True,top,-5.5,#204195,#204195,o,12-ts-rxt-t1,10.673937619805484
2,6,T1,True,True,False,top,-1.5,#204195,#204195,o,13-t1,4.59023243354556
2,8,T1-T2,True,True,True,bottom,1.5,#204195,#204195,o,14-ts-t1-t2,15.961333174503922
2,10,T2,True,True,False,top,-1.5,#204195,#204195,o,15-t2,0.3721131696320177
2,11,T2 // H$_2$O,False,True,True,top,-1.5,#204195,#204195,x,diffusion,8.424943619873305
2,12,T2 + H$_2$O,True,True,False,top,-1.5,#204195,#204195,o,16-t2-h2o,4.95858054511231
2,13,T2-T3,True,True,True,bottom,1.5,#204195,#204195,o,17-ts-t2-t3,16.10754290188226
2,14,T3 + B(OH)$_3$,True,True,False,top,-1.5,#204195,#204195,o,18-t3-boh3,8.031494861430877
2,15,T3 // B(OH)$_3$,False,True,True,top,-1.5,#204195,#204195,x,diffusion,11.497857936191872
2,16,T3,True,True,False,top,-1.5,#204195,#204195,o,19-t3,0.933734225546829
2,18,T3-T4,True,True,True,bottom,1.5,#204195,#204195,o,20-ts-t3-t4,19.67556226104193
2,20,T4,True,True,False,top,-1.5,#204195,#204195,o,21-t4,-6.1345334607241995
2,21,T4-PDT,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-2.668170385963205
2,22,PDT,False,True,False,top,-1.5,black,black,o,pdt,-26.132008126189323
