I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
100-l2pd2oh4,,00-lpdoh2,00-lpdoh2,-2649.958744,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
00-lpdoh2,6cnnaphboh2,01-rxt,,-1978.284407,True,diffusion-lpdoh2-rxt,1.3460080066467772,0.0
01-rxt,,03-c1,,-1978.261167,True,02-ts-rxt-c1,14.583322179866865,9.531870219932395
03-c1,,05-c2,,-1978.268667,True,04-ts-c1-c2,4.825548518108826,36.77896283456286
05-c2,h2o,09-c3,boh3,-2054.67995,True,07-ts-c2-c3,9.865705305702324,2.2803697416809117
09-c3,,11-c4,,-1802.364252,True,10-ts-c3-c4,29.445886113687514,11.97664746654905
11-c4,,6cnnaph-c,00-lpdoh2,-1802.383338,True,diffusion-c4-pdt,0.0,25.630627987565582
01-rxt,,13-t1,,-1978.269542,True,12-ts-rxt-t1,9.32792961287335,6.083705186402604
13-t1,,15-t2,,-1978.261116,True,14-ts-t1-t2,11.371100740958362,15.589220004871903
15-t2,h2o,19-t3,boh3,-2054.629277,True,17-ts-t2-t3,15.735429732250239,15.173808676050069
19-t3,,21-t4,,-1802.351184,True,20-ts-t3-t4,18.74182803535242,25.810095721766128
21-t4,,6cnnaph-t,00-lpdoh2,-1802.392315,True,diffusion-t4-pdt,0.0,19.99747466541162
