line,point,label_name,is_label,is_point,is_TS,vertical_alignment,vertical_offset,line_color,point_color,point_marker,structure,reference_gibbs
0,0,[LPd(OH)$_2$]$_2$,True,True,False,top,-1.5,black,black,o,00-lpdoh2,0.0
0,1,Pd-RXT,False,True,True,top,-1.5,black,black,x,diffusion,4.902104948650724
0,2,RXT,True,True,False,top,-1.5,black,black,o,01-rxt,1.4357418738897296
1,2,RXT,False,False,False,top,-1.5,#C04A1B,#C04A1B,o,01-rxt,1.4357418738897296
1,4,RXT-C1,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,02-ts-rxt-c1,14.144692997303821
1,6,C1,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,03-c1,13.842233389038112
1,8,C1-C2,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,04-ts-c1-c2,16.82855138640633
1,10,C2,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,05-c2,-25.874101696890612
1,11,C2 // H$_2$O,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-20.07779562495904
1,12,C2 + H$_2$O,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,06-c2-h2o,-23.544158699720036
1,13,C2-C3,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,07-ts-c2-c3,-16.278853011606397
1,14,C3 + B(OH)$_3$,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,08-c3-boh3,-19.363062500123256
1,15,C3 // B(OH)$_3$,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-15.801317972162842
1,16,C3,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,09-c3,-19.267681046923837
1,18,C3-C4,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,10-ts-c3-c4,17.30985121881456
1,20,C4,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,11-c4,3.5084059513024033
1,21,C4-PDT,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,6.974769026063398
1,22,PDT,True,True,False,top,-1.5,black,black,o,pdt,-26.132008126189323
2,2,RXT,False,False,False,top,-1.5,#204195,#204195,o,01-rxt,1.4357418738897296
2,4,RXT-T1,True,True,True,top,-5.5,#204195,#204195,o,12-ts-rxt-t1,11.263796606358705
2,6,T1,True,True,False,top,-1.5,#204195,#204195,o,13-t1,2.929842136662117
2,8,T1-T2,True,True,True,top,-5.5,#204195,#204195,o,14-ts-t1-t2,13.161385516267329
2,10,T2,True,True,False,top,-1.5,#204195,#204195,o,15-t2,-2.9555700287805866
2,11,T2 // H$_2$O,False,True,True,top,-1.5,#204195,#204195,x,diffusion,3.861066588218879
2,12,T2 + H$_2$O,True,True,False,top,-1.5,#204195,#204195,o,16-t2-h2o,0.3947035134578843
2,13,T2-T3,True,True,True,bottom,1.5,#204195,#204195,o,17-ts-t2-t3,11.706818355760925
2,14,T3 + B(OH)$_3$,True,True,False,top,-1.5,#204195,#204195,o,18-t3-boh3,-2.05509380977061
2,15,T3 // B(OH)$_3$,False,True,True,top,-1.5,#204195,#204195,x,diffusion,1.4112692649903846
2,16,T3,True,True,False,top,-1.5,#204195,#204195,o,19-t3,-4.147838193059928
2,18,T3-T4,True,True,True,top,-7.5,#204195,#204195,o,20-ts-t3-t4,13.370973709568199
2,20,T4,True,True,False,top,-1.5,#204195,#204195,o,21-t4,-6.202932002830538
2,21,T4-PDT,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-2.7365689280695435
2,22,PDT,False,True,False,top,-1.5,black,black,o,pdt,-26.132008126189323
