line,point,label_name,is_label,is_point,is_TS,vertical_alignment,vertical_offset,line_color,point_color,point_marker,structure,reference_gibbs
0,0,[LPd(OH)$_2$]$_2$,True,True,False,top,-1.5,black,black,o,00-lpdoh2,0.0
0,1,Pd-RXT,False,True,True,top,-1.5,black,black,x,diffusion,4.676515261568732
0,2,RXT,True,True,False,top,-1.5,black,black,o,01-rxt,1.2101521868077376
1,2,RXT,False,False,False,top,-1.5,#C04A1B,#C04A1B,o,01-rxt,1.2101521868077376
1,4,RXT-C1,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,02-ts-rxt-c1,15.116391550970333
1,6,C1,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,03-c1,12.686047024416535
1,8,C1-C2,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,04-ts-c1-c2,17.415586579553278
1,10,C2,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,05-c2,-24.845299773316054
1,11,C2 // H$_2$O,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-17.871785766227266
1,12,C2 + H$_2$O,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,06-c2-h2o,-21.33814884098826
1,13,C2-C3,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,07-ts-c2-c3,-11.260345303750485
1,14,C3 + B(OH)$_3$,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,08-c3-boh3,-18.016740738590148
1,15,C3 // B(OH)$_3$,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-14.267998362010804
1,16,C3,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,09-c3,-17.7343614367718
1,18,C3-C4,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,10-ts-c3-c4,17.869275991666484
1,20,C4,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,11-c4,5.735123625683486
1,21,C4-PDT,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,9.20148670044448
1,22,PDT,True,True,False,top,-1.5,black,black,o,pdt,-26.132008126189323
2,2,RXT,False,False,False,top,-1.5,#204195,#204195,o,01-rxt,1.2101521868077376
2,4,RXT-T1,True,True,True,top,-5.5,#204195,#204195,o,12-ts-rxt-t1,13.328616814181304
2,6,T1,True,True,False,top,-1.5,#204195,#204195,o,13-t1,2.6226762068135785
2,8,T1-T2,True,True,True,top,-5.5,#204195,#204195,o,14-ts-t1-t2,14.184539854170778
2,10,T2,True,True,False,top,-1.5,#204195,#204195,o,15-t2,-4.402920829184223
2,11,T2 // H$_2$O,False,True,True,top,-1.5,#204195,#204195,x,diffusion,4.511480247288364
2,12,T2 + H$_2$O,True,True,False,top,-1.5,#204195,#204195,o,16-t2-h2o,1.045117172527369
2,13,T2-T3,True,True,True,bottom,1.5,#204195,#204195,o,17-ts-t2-t3,12.701107253824018
2,14,T3 + B(OH)$_3$,True,True,False,top,-1.5,#204195,#204195,o,18-t3-boh3,0.4000373448133773
2,15,T3 // B(OH)$_3$,False,True,True,top,-1.5,#204195,#204195,x,diffusion,3.8664004195743717
2,16,T3,True,True,False,top,-1.5,#204195,#204195,o,19-t3,-5.098828931933205
2,18,T3-T4,True,True,True,top,-7.5,#204195,#204195,o,20-ts-t3-t4,14.550377927788308
2,20,T4,True,True,False,top,-1.5,#204195,#204195,o,21-t4,-7.750056823700808
2,21,T4-PDT,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-4.283693748939813
2,22,PDT,False,True,False,top,-1.5,black,black,o,pdt,-26.132008126189323
