I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
100-l2pd2oh4,,00-lpdoh2,00-lpdoh2,-2795.041181,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
00-lpdoh2,6cnnaphboh2,01-rxt,,-2050.825842,True,diffusion-lpdoh2-rxt,1.2101521868077376,0.0
01-rxt,,03-c1,,-2050.803681,True,02-ts-rxt-c1,13.906239364447954,2.4303445268391557
03-c1,,05-c2,,-2050.800017,True,04-ts-c1-c2,4.7295395554221,42.260886352869335
05-c2,h2o,09-c3,boh3,-2127.214109,True,07-ts-c2-c3,13.584954469565568,6.474016133021312
09-c3,,11-c4,,-1874.895281,True,10-ts-c3-c4,35.6036374282956,12.134152366125676
11-c4,,6cnnaph-c,00-lpdoh2,-1874.914618,True,diffusion-c4-pdt,0.0,31.867131751961985
01-rxt,,13-t1,,-2050.80653,True,12-ts-rxt-t1,12.118464627373566,10.705940607082368
13-t1,,15-t2,,-2050.805166,True,14-ts-t1-t2,11.561863647071842,18.587460683355
15-t2,h2o,19-t3,boh3,-2127.175924,True,17-ts-t2-t3,17.10402808300824,17.799936185471864
19-t3,,21-t4,,-1874.90057,True,20-ts-t3-t4,19.649206859436156,22.300434751489114
21-t4,,6cnnaph-t,00-lpdoh2,-1874.936108,True,diffusion-t4-pdt,0.0,18.38195130257769
