I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
100-l2pd2oh4,,00-lpdoh2,00-lpdoh2,-2649.958744,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
00-lpdoh2,6omenaphboh2,01-rxt,,-2000.512609,True,diffusion-lpdoh2-rxt,2.8081052819996026,0.0
01-rxt,,03-c1,,-2000.487936,True,02-ts-rxt-c1,15.482543379616873,12.42343427344582
03-c1,,05-c2,,-2000.501303,True,04-ts-c1-c2,4.03551398184843,32.759136591751904
05-c2,h2o,09-c3,boh3,-2076.906219,True,07-ts-c2-c3,9.841232433129182,3.0666392208747943
09-c3,,11-c4,,-1824.596374,True,10-ts-c3-c4,26.55934213678593,11.584453991468425
11-c4,,6omenaph-c,00-lpdoh2,-1824.614835,True,diffusion-c4-pdt,0.0,24.718856596499993
01-rxt,,13-t1,,-2000.496191,True,12-ts-rxt-t1,10.302451959946131,8.19715738534123
13-t1,,15-t2,,-2000.490664,True,14-ts-t1-t2,11.665402724747667,12.545171128108334
15-t2,h2o,19-t3,boh3,-2076.855297,True,17-ts-t2-t3,14.905234584093876,16.08055999050382
19-t3,,21-t4,,-1824.579524,True,20-ts-t3-t4,18.192757170182475,25.904849665335565
21-t4,,6omenaph-t,00-lpdoh2,-1824.620806,True,diffusion-t4-pdt,0.0,20.9719970124844
