line,point,label_name,is_label,is_point,is_TS,vertical_alignment,vertical_offset,line_color,point_color,point_marker,structure,reference_gibbs
0,0,[LPd(OH)$_2$]$_2$,True,True,False,top,-1.5,black,black,o,00-lpdoh2,0.0
0,1,Pd-RXT,False,True,True,top,-1.5,black,black,x,diffusion,6.519197085202917
0,2,RXT,True,True,False,top,-1.5,black,black,o,01-rxt,3.0528340104419223
1,2,RXT,False,False,False,top,-1.5,#C04A1B,#C04A1B,o,01-rxt,3.0528340104419223
1,4,RXT-C1,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,02-ts-rxt-c1,13.574286806854582
1,6,C1,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,03-c1,12.860180927546947
1,8,C1-C2,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,04-ts-c1-c2,17.345619263871352
1,10,C2,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,05-c2,-23.28248721298028
1,11,C2 // H$_2$O,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-17.42280267569689
1,12,C2 + H$_2$O,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,06-c2-h2o,-20.889165750457884
1,13,C2-C3,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,07-ts-c2-c3,-13.491455544828066
1,14,C3 + B(OH)$_3$,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,08-c3-boh3,-16.71622717505215
1,15,C3 // B(OH)$_3$,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-12.536385730185469
1,16,C3,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,09-c3,-16.002748804946464
1,18,C3-C4,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,10-ts-c3-c4,15.485053417994132
1,20,C4,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,11-c4,2.9856904875955528
1,21,C4-PDT,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,6.452053562356547
1,22,PDT,True,True,False,top,-1.5,black,black,o,pdt,-25.825783460714423
2,2,RXT,False,False,False,top,-1.5,#204195,#204195,o,01-rxt,3.0528340104419223
2,4,RXT-T1,True,True,True,top,-5.5,#204195,#204195,o,12-ts-rxt-t1,13.449412404327502
2,6,T1,True,True,False,top,-1.5,#204195,#204195,o,13-t1,2.8143803778714123
2,8,T1-T2,True,True,True,top,-5.5,#204195,#204195,o,14-ts-t1-t2,13.249864364250312
2,10,T2,True,True,False,top,-1.5,#204195,#204195,o,15-t2,-1.6189746652994677
2,11,T2 // H$_2$O,False,True,True,top,-1.5,#204195,#204195,x,diffusion,6.7400804504167215
2,12,T2 + H$_2$O,True,True,False,top,-1.5,#204195,#204195,o,16-t2-h2o,3.2737173756557265
2,13,T2-T3,True,True,True,bottom,1.5,#204195,#204195,o,17-ts-t2-t3,14.484803178802881
2,14,T3 + B(OH)$_3$,True,True,False,top,-1.5,#204195,#204195,o,18-t3-boh3,-1.2368213432998443
2,15,T3 // B(OH)$_3$,False,True,True,top,-1.5,#204195,#204195,x,diffusion,2.4579552113786964
2,16,T3,True,True,False,top,-1.5,#204195,#204195,o,19-t3,-1.0084078633822982
2,18,T3-T4,True,True,True,top,-7.5,#204195,#204195,o,20-ts-t3-t4,13.333950645536797
2,20,T4,True,True,False,top,-1.5,#204195,#204195,o,21-t4,-6.0140516251789755
2,21,T4-PDT,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-2.547688550417981
2,22,PDT,False,True,False,top,-1.5,black,black,o,pdt,-25.825783460714423
