line,point,label_name,is_label,is_point,is_TS,vertical_alignment,vertical_offset,line_color,point_color,point_marker,structure,reference_gibbs
0,0,[LPd(OH)$_2$]$_2$,True,True,False,top,-1.5,black,black,o,00-lpdoh2,0.0
0,1,Pd-RXT,False,True,True,top,-1.5,black,black,x,diffusion,4.607489210545804
0,2,RXT,True,True,False,top,-1.5,black,black,o,01-rxt,1.14112613578481
1,2,RXT,False,False,False,top,-1.5,#C04A1B,#C04A1B,o,01-rxt,1.14112613578481
1,4,RXT-C1,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,02-ts-rxt-c1,17.73561645574641
1,6,C1,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,03-c1,6.4285216904832465
1,8,C1-C2,True,True,True,top,-5.5,#C04A1B,#C04A1B,o,04-ts-c1-c2,10.086274916885872
1,10,C2,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,05-c2,-24.46879403698754
1,11,C2 // H$_2$O,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-21.002430962226544
1,12,C2 + H$_2$O,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,06-c2-h2o,-25.771503883873784
1,13,C2-C3,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,07-ts-c2-c3,-20.009711101983548
1,14,C3 + B(OH)$_3$,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,08-c3-boh3,-24.409180628559554
1,15,C3 // B(OH)$_3$,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-16.04949800278534
1,16,C3,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,09-c3,-19.515861077546337
1,18,C3-C4,True,True,True,top,-7.5,#C04A1B,#C04A1B,o,10-ts-c3-c4,10.262605103079174
1,20,C4,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,11-c4,-6.534570804966861
1,21,C4-PDT,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-3.068207730205866
1,22,PDT,True,True,False,top,-1.5,black,black,o,pdt,-25.825783460714423
2,2,RXT,False,False,False,top,-1.5,#204195,#204195,o,01-rxt,1.14112613578481
2,4,RXT-T1,True,True,True,top,-5.5,#204195,#204195,o,12-ts-rxt-t1,10.154673458136136
2,6,T1,True,True,False,top,-1.5,#204195,#204195,o,13-t1,3.080758185623282
2,8,T1-T2,True,True,True,bottom,1.5,#204195,#204195,o,14-ts-t1-t2,16.292971976925603
2,10,T2,True,True,False,top,-1.5,#204195,#204195,o,15-t2,-3.868282684362492
2,11,T2 // H$_2$O,False,True,True,top,-1.5,#204195,#204195,x,diffusion,4.71542085434741
2,12,T2 + H$_2$O,True,True,False,top,-1.5,#204195,#204195,o,16-t2-h2o,1.249057779586415
2,13,T2-T3,True,True,True,bottom,1.5,#204195,#204195,o,17-ts-t2-t3,14.139359165948328
2,14,T3 + B(OH)$_3$,True,True,False,top,-1.5,#204195,#204195,o,18-t3-boh3,-2.4306582808694124
2,15,T3 // B(OH)$_3$,False,True,True,top,-1.5,#204195,#204195,x,diffusion,1.1059858644598375
2,16,T3,True,True,False,top,-1.5,#204195,#204195,o,19-t3,-2.360377210301157
2,18,T3-T4,True,True,True,bottom,1.5,#204195,#204195,o,20-ts-t3-t4,17.015235480424284
2,20,T4,True,True,False,top,-1.5,#204195,#204195,o,21-t4,-8.095187081098311
2,21,T4-PDT,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-4.628824006337316
2,22,PDT,False,True,False,top,-1.5,black,black,o,pdt,-25.825783460714423
