I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
100-l2pd2oh4,,00-lpdoh2,00-lpdoh2,-3104.254843,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
00-lpdoh2,6omenaphboh2,01-rxt,,-2227.663315,True,diffusion-lpdoh2-rxt,1.1411261354994517,0.0
01-rxt,,03-c1,,-2227.63687,True,02-ts-rxt-c1,16.59449032024696,11.30709476583388
03-c1,,05-c2,,-2227.64906,True,04-ts-c1-c2,3.657753226402625,34.55506895301733
05-c2,h2o,09-c3,boh3,-2304.065415,True,07-ts-c2-c3,4.459082935003991,-0.49385002386649496
09-c3,,11-c4,,-2051.744766,True,10-ts-c3-c4,29.77846618091087,16.797175908331393
11-c4,,6omenaph-c,00-lpdoh2,-2051.771534,True,diffusion-c4-pdt,0.0,19.2912126554087
01-rxt,,13-t1,,-2227.648951,True,12-ts-rxt-t1,9.013547322922042,7.073915272512854
13-t1,,15-t2,,-2227.639169,True,14-ts-t1-t2,13.212213790731603,20.161254660717375
15-t2,h2o,19-t3,boh3,-2304.010995,True,17-ts-t2-t3,18.00764185002546,16.499736376534845
19-t3,,21-t4,,-2051.734005,True,20-ts-t3-t4,19.37561269129616,25.11042256237867
21-t4,,6omenaph-t,00-lpdoh2,-2051.774021,True,diffusion-t4-pdt,0.0,17.73059637899189
