I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
100-l2pd2oh4,,00-lpdoh2,00-lpdoh2,-2790.247995,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
00-lpdoh2,naphboh2,01-rxt,,-1956.268439,True,diffusion-lpdoh2-rxt,3.723955485303394,0.0
01-rxt,,03-c1,,-1956.243324,True,02-ts-rxt-c1,15.759902605108739,14.70756907262128
03-c1,,05-c2,,-1956.259072,True,04-ts-c1-c2,4.825548518108826,38.383504780084834
05-c2,h2o,09-c3,boh3,-2032.674793,True,07-ts-c2-c3,8.68535982325126,-1.21297597992865
09-c3,,11-c4,,-1780.353151,True,10-ts-c3-c4,29.682457217938786,14.342986018121042
11-c4,,naph-c,00-lpdoh2,-1780.376008,True,diffusion-c4-pdt,0.0,21.424117650593985
01-rxt,,13-t1,,-1956.252978,True,12-ts-rxt-t1,9.701925310681926,11.172807719855783
13-t1,,15-t2,,-1956.251744,True,14-ts-t1-t2,11.947154517221389,18.178324450404975
15-t2,h2o,19-t3,boh3,-2032.620583,True,17-ts-t2-t3,17.899082696165834,17.80746630017561
19-t3,,21-t4,,-1780.347117,True,20-ts-t3-t4,18.471998924421616,25.052064173067976
21-t4,,naph-t,00-lpdoh2,-1780.38704,True,diffusion-t4-pdt,0.0,14.501432182071307
