line,point,label_name,is_label,is_point,is_TS,vertical_alignment,vertical_offset,line_color,point_color,point_marker,structure,reference_gibbs
0,0,[LPd(OH)$_2$]$_2$,True,True,False,top,-1.5,black,black,o,00-lpdoh2,0.0
0,1,Pd-RXT,False,True,True,top,-1.5,black,black,x,diffusion,7.038775001187881
0,2,RXT,True,True,False,top,-1.5,black,black,o,01-rxt,3.5724119264268865
1,2,RXT,False,False,False,top,-1.5,#C04A1B,#C04A1B,o,01-rxt,3.5724119264268865
1,4,RXT-C1,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,02-ts-rxt-c1,18.064745219648152
1,6,C1,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,03-c1,-0.04957325548966365
1,8,C1-C2,True,True,True,top,-5.5,#C04A1B,#C04A1B,o,04-ts-c1-c2,10.102903919583582
1,10,C2,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,05-c2,-27.38765475605234
1,11,C2 // H$_2$O,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-20.9443863276595
1,12,C2 + H$_2$O,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,06-c2-h2o,-24.410749402420496
1,13,C2-C3,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,07-ts-c2-c3,-15.977648422886016
1,14,C3 + B(OH)$_3$,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,08-c3-boh3,-26.66099868585716
1,15,C3 // B(OH)$_3$,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-19.273328369206506
1,16,C3,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,09-c3,-22.7396914439675
1,18,C3-C4,True,True,True,top,-7.5,#C04A1B,#C04A1B,o,10-ts-c3-c4,10.891683436726685
1,20,C4,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,11-c4,-9.435233747473006
1,21,C4-PDT,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-5.968870672712011
1,22,PDT,True,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
2,2,RXT,False,False,False,top,-1.5,#204195,#204195,o,01-rxt,3.5724119264268865
2,4,RXT-T1,True,True,True,top,-5.5,#204195,#204195,o,12-ts-rxt-t1,13.74685193612405
2,6,T1,True,True,False,bottom,1.5,#204195,#204195,o,13-t1,1.1376748326058754
2,8,T1-T2,True,True,True,bottom,1.5,#204195,#204195,o,14-ts-t1-t2,15.613065368243097
2,10,T2,True,True,False,top,-1.5,#204195,#204195,o,15-t2,-3.470755377498337
2,11,T2 // H$_2$O,False,True,True,top,-1.5,#204195,#204195,x,diffusion,2.564631836776407
2,12,T2 + H$_2$O,True,True,False,top,-1.5,#204195,#204195,o,16-t2-h2o,-0.9017312379845875
2,13,T2-T3,True,True,True,bottom,1.5,#204195,#204195,o,17-ts-t2-t3,13.951420052385044
2,14,T3 + B(OH)$_3$,True,True,False,top,-1.5,#204195,#204195,o,18-t3-boh3,-1.35855819781968
2,15,T3 // B(OH)$_3$,False,True,True,top,-1.5,#204195,#204195,x,diffusion,2.107804876941315
2,16,T3,True,True,False,top,-1.5,#204195,#204195,o,19-t3,-3.310112930485182
2,18,T3-T4,True,True,True,bottom,1.5,#204195,#204195,o,20-ts-t3-t4,15.8797569308813
2,20,T4,True,True,False,bottom,1.5,#204195,#204195,o,21-t4,-7.2696982553808525
2,21,T4-PDT,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-3.803335180619858
2,22,PDT,False,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
