line,point,label_name,is_label,is_point,is_TS,vertical_alignment,vertical_offset,line_color,point_color,point_marker,structure,reference_gibbs
0,0,[LPd(OH)$_2$]$_2$,True,True,False,top,-1.5,black,black,o,00-lpdoh2,0.0
0,1,Pd-RXT,False,True,True,top,-1.5,black,black,x,diffusion,6.840795735256991
0,2,RXT,True,True,False,top,-1.5,black,black,o,01-rxt,3.374432660495997
1,2,RXT,False,False,False,top,-1.5,#C04A1B,#C04A1B,o,01-rxt,3.374432660495997
1,4,RXT-C1,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,02-ts-rxt-c1,19.239756871742475
1,6,C1,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,03-c1,2.061055150898767
1,8,C1-C2,True,True,True,top,-5.5,#C04A1B,#C04A1B,o,04-ts-c1-c2,9.08602467769462
1,10,C2,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,05-c2,-28.2652268757794
1,11,C2 // H$_2$O,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-22.861741788843798
1,12,C2 + H$_2$O,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,06-c2-h2o,-26.328104863604793
1,13,C2-C3,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,07-ts-c2-c3,-20.202984046331608
1,14,C3 + B(OH)$_3$,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,08-c3-boh3,-22.59818803760128
1,15,C3 // B(OH)$_3$,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-17.961519632899503
1,16,C3,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,09-c3,-21.427882707660498
1,18,C3-C4,True,True,True,top,-7.5,#C04A1B,#C04A1B,o,10-ts-c3-c4,10.805400872662668
1,20,C4,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,11-c4,-7.531683496436226
1,21,C4-PDT,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-4.065320421675231
1,22,PDT,True,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
2,2,RXT,False,False,False,top,-1.5,#204195,#204195,o,01-rxt,3.374432660495997
2,4,RXT-T1,True,True,True,top,-5.5,#204195,#204195,o,12-ts-rxt-t1,12.354094467108522
2,6,T1,True,True,False,bottom,1.5,#204195,#204195,o,13-t1,2.468308855529554
2,8,T1-T2,True,True,True,bottom,1.5,#204195,#204195,o,14-ts-t1-t2,15.344805031173237
2,10,T2,True,True,False,top,-1.5,#204195,#204195,o,15-t2,-2.9816116752146713
2,11,T2 // H$_2$O,False,True,True,top,-1.5,#204195,#204195,x,diffusion,2.185929817385002
2,12,T2 + H$_2$O,True,True,False,top,-1.5,#204195,#204195,o,16-t2-h2o,-1.2804332573759927
2,13,T2-T3,True,True,True,bottom,1.5,#204195,#204195,o,17-ts-t2-t3,15.052385576416565
2,14,T3 + B(OH)$_3$,True,True,False,top,-1.5,#204195,#204195,o,18-t3-boh3,-0.2029993424000505
2,15,T3 // B(OH)$_3$,False,True,True,top,-1.5,#204195,#204195,x,diffusion,3.263363732360944
2,16,T3,True,True,False,top,-1.5,#204195,#204195,o,19-t3,-2.55302264544727
2,18,T3-T4,True,True,True,bottom,1.5,#204195,#204195,o,20-ts-t3-t4,15.356727712858834
2,20,T4,True,True,False,top,-1.5,#204195,#204195,o,21-t4,-9.80389561392609
2,21,T4-PDT,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-6.337532539165094
2,22,PDT,False,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
