I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
100-l2pd2oh4,,00-lpdoh2,00-lpdoh2,-2178.934775,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
00-lpdoh2,naphboh2,01-rxt,,-1650.615994,True,diffusion-lpdoh2-rxt,1.1103781669118213,0.0
01-rxt,,03-c1,,-1650.591942,True,02-ts-rxt-c1,15.092859942628149,12.978780234202217
03-c1,,05-c2,,-1650.603063,True,04-ts-c1-c2,6.000246414888783,37.60602043499734
05-c2,h2o,09-c3,boh3,-1727.01907,True,07-ts-c2-c3,7.728407743820541,0.23155102763943228
09-c3,,11-c4,,-1474.697941,True,10-ts-c3-c4,30.805071821279856,15.34888384326876
11-c4,,naph-c,00-lpdoh2,-1474.722401,True,diffusion-c4-pdt,0.0,19.53970644120289
01-rxt,,13-t1,,-1650.599082,True,12-ts-rxt-t1,10.612441682630223,7.763548279247348
13-t1,,15-t2,,-1650.596274,True,14-ts-t1-t2,9.525595124345944,14.765299952159314
15-t2,h2o,19-t3,boh3,-1726.964441,True,17-ts-t2-t3,14.907744622328456,15.161885994221793
19-t3,,21-t4,,-1474.690814,True,20-ts-t3-t4,15.927447657766367,21.90698625714852
21-t4,,naph-t,00-lpdoh2,-1474.725725,True,diffusion-t4-pdt,0.0,17.45386466298733
