line,point,label_name,is_label,is_point,is_TS,vertical_alignment,vertical_offset,line_color,point_color,point_marker,structure,reference_gibbs
0,0,[LPd(OH)$_2$]$_2$,True,True,False,top,-1.5,black,black,o,00-lpdoh2,0.0
0,1,Pd-RXT,False,True,True,top,-1.5,black,black,x,diffusion,7.481169241388153
0,2,RXT,True,True,False,top,-1.5,black,black,o,01-rxt,4.014806166627159
1,2,RXT,False,False,False,top,-1.5,#C04A1B,#C04A1B,o,01-rxt,4.014806166627159
1,4,RXT-C1,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,02-ts-rxt-c1,17.651843929631614
1,6,C1,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,03-c1,5.382777007612497
1,8,C1-C2,True,True,True,top,-5.5,#C04A1B,#C04A1B,o,04-ts-c1-c2,11.355413001778215
1,10,C2,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,05-c2,-27.63552103235922
1,11,C2 // H$_2$O,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-21.182212451028064
1,12,C2 + H$_2$O,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,06-c2-h2o,-24.64857552578906
1,13,C2-C3,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,07-ts-c2-c3,-19.489819431112252
1,14,C3 + B(OH)$_3$,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,08-c3-boh3,-23.283114722752945
1,15,C3 // B(OH)$_3$,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-17.112185443240133
1,16,C3,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,09-c3,-20.578548518001128
1,18,C3-C4,True,True,True,top,-7.5,#C04A1B,#C04A1B,o,10-ts-c3-c4,9.792914196899488
1,20,C4,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,11-c4,-4.944147824906775
1,21,C4-PDT,False,True,True,top,-1.5,#C04A1B,#C04A1B,x,diffusion,-1.4777847501457804
1,22,PDT,True,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
2,2,RXT,False,False,False,top,-1.5,#204195,#204195,o,01-rxt,4.014806166627159
2,4,RXT-T1,True,True,True,top,-5.5,#204195,#204195,o,12-ts-rxt-t1,14.582067160464216
2,6,T1,True,True,False,top,-1.5,#204195,#204195,o,13-t1,3.8190231837591604
2,8,T1-T2,True,True,True,bottom,1.5,#204195,#204195,o,14-ts-t1-t2,14.068764340493741
2,10,T2,True,True,False,top,-1.5,#204195,#204195,o,15-t2,-2.817517925593298
2,11,T2 // H$_2$O,False,True,True,top,-1.5,#204195,#204195,x,diffusion,4.880142113741447
2,12,T2 + H$_2$O,True,True,False,top,-1.5,#204195,#204195,o,16-t2-h2o,1.4137790389804519
2,13,T2-T3,True,True,True,bottom,1.5,#204195,#204195,o,17-ts-t2-t3,13.871726338651131
2,14,T3 + B(OH)$_3$,True,True,False,top,-1.5,#204195,#204195,o,18-t3-boh3,1.7024334368132894
2,15,T3 // B(OH)$_3$,False,True,True,top,-1.5,#204195,#204195,x,diffusion,5.168796511574284
2,16,T3,True,True,False,top,-1.5,#204195,#204195,o,19-t3,-2.9442748562969365
2,18,T3-T4,True,True,True,bottom,1.5,#204195,#204195,o,20-ts-t3-t4,14.608422562355349
2,20,T4,True,True,False,top,-1.5,#204195,#204195,o,21-t4,-8.19464734696397
2,21,T4-PDT,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-4.728284272202975
2,22,PDT,False,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
