I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
100-l2pd2oh4,,00-lpdoh2,00-lpdoh2,-1715.379421,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
00-lpdoh2,naphboh2,01-rxt,,-1418.834488,True,diffusion-lpdoh2-rxt,3.513112273027912,0.0
01-rxt,,03-c1,,-1418.816649,True,02-ts-rxt-c1,11.194143044849717,14.558849306865685
03-c1,,05-c2,,-1418.826031,True,04-ts-c1-c2,8.671554612818387,34.38689639101508
05-c2,h2o,09-c3,boh3,-1495.242047,True,07-ts-c2-c3,4.503636113881814,0.37211316920398024
09-c3,,11-c4,,-1242.923291,True,10-ts-c3-c4,29.45655377625582,16.72124725137863
11-c4,,naph-c,00-lpdoh2,-1242.949938,True,diffusion-c4-pdt,0.0,16.26787159415176
01-rxt,,13-t1,,-1418.824011,True,12-ts-rxt-t1,6.574417662547213,6.0893527725017496
13-t1,,15-t2,,-1418.818209,True,14-ts-t1-t2,9.730163240892296,12.174312978021645
15-t2,h2o,19-t3,boh3,-1495.181764,True,17-ts-t2-t3,15.210831740081472,17.136658580343145
19-t3,,21-t4,,-1242.914675,True,20-ts-t3-t4,13.799562739050243,21.68798542068199
21-t4,,naph-t,00-lpdoh2,-1242.949237,True,diffusion-t4-pdt,0.0,16.707755795832092
