line,point,label_name,is_label,is_point,is_TS,vertical_alignment,vertical_offset,line_color,point_color,point_marker,structure,reference_gibbs
0,0,[LPd(OH)$_2$]$_2$,True,True,False,top,-1.5,black,black,o,00-lpdoh2,0.0
0,1,Pd-RXT,False,True,True,top,-1.5,black,black,x,diffusion,8.61037269491665
0,2,RXT,True,True,False,top,-1.5,black,black,o,01-rxt,5.144009620155655
1,2,RXT,False,False,False,top,-1.5,#C04A1B,#C04A1B,o,01-rxt,5.144009620155655
1,4,RXT-C1,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,02-ts-rxt-c1,19.358356178255068
1,6,C1,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,03-c1,15.916466240597087
1,8,C1-C2,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,04-ts-c1-c2,20.54246671862872
1,10,C2,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,05-c2,-17.521008185976378
2,2,RXT,False,False,False,top,-1.5,#204195,#204195,o,01-rxt,5.144009620155655
2,4,RXT-T1,True,True,True,top,-5.5,#204195,#204195,o,12-ts-rxt-t1,17.758834308774222
2,6,T1,True,True,False,top,-1.5,#204195,#204195,o,13-t1,5.108869084300811
2,8,T1-T2,True,True,True,top,-5.5,#204195,#204195,o,14-ts-t1-t2,14.807029338058904
2,10,T2,True,True,False,top,-1.5,#204195,#204195,o,15-t2,-4.387233090574792
2,12,T2 // H$_2$O,False,True,True,top,-1.5,#204195,#204195,x,diffusion,6.930529601929227
2,14,T2 + H$_2$O,True,True,False,bottom,2.5,#204195,#204195,o,16-t2-h2o,3.4641665271682327
2,16,T2-T3,True,True,True,bottom,1.5,#204195,#204195,o,17-ts-t2-t3,14.960141670653675
2,18,T3 + B(OH)$_3$,True,True,False,top,-4.5,#204195,#204195,o,18-t3-boh3,-5.284571761862883
2,20,T3 // B(OH)$_3$,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-1.818208687101888
2,22,T3,True,True,False,top,-1.5,#204195,#204195,o,19-t3,-7.089289256806669
2,24,T3-T4,True,True,True,bottom,1.5,#204195,#204195,o,20-ts-t3-t4,14.333259620069052
2,26,T4,True,True,False,bottom,1.5,#204195,#204195,o,21-t4,-6.509470423191772
2,28,T4-PDT,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-3.043107348430777
2,30,PDT,True,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
3,10,T2,False,False,False,top,-1.5,#b65a85,#b65a85,o,15-t2,-4.387233090574792
3,12,T2-T3RH,True,True,True,bottom,1.5,#b65a85,#b65a85,o,56-ts-t2-t3rh,17.00519532748596
3,14,T3RH,True,True,False,top,-1.5,#b65a85,#b65a85,o,57-t3rh,-8.494910671596074
3,16,T3RH-T3OB,True,True,True,bottom,1.5,#b65a85,#b65a85,o,58-ts-t3rh-t3ob,-4.130581680304196
3,18,T3OB + R-H,True,True,False,top,-6.5,#b65a85,#b65a85,o,59-t3ob-rh,-8.075734285565048
3,20,T3OB + R-H // T3OB,False,True,True,top,-1.5,#b65a85,#b65a85,x,diffusion,-4.609371210804053
3,22,T3OB,True,True,False,top,-1.5,#b65a85,#b65a85,o,60-t3ob,-12.115640833967296
3,24,T3OB // T3OB + H$_2$O,False,True,True,bottom,1.5,#b65a85,#b65a85,x,diffusion,-8.649277759206301
3,26,T3OB + H$_2$O,True,False,False,top,-1.5,#b65a85,#b65a85,o,61-t3ob-1h2o,-14.781928955713097
3,28,T3OB + H$_2$O // T3OB + 2H$_2$O,False,True,True,top,-1.5,#b65a85,#b65a85,x,diffusion,-4.90179066613144
3,30,T3OB + 2H$_2$O,True,True,False,top,-1.5,#b65a85,#b65a85,o,64-t3ob-2h2o,-8.368153740892435
3,32,T3OB-2H$_2$O-T4OB,True,True,True,top,-3.5,#b65a85,#b65a85,o,65-ts-t3ob-2h2o-t4ob,9.018253645075587
3,34,T4OB + H$_2$O,True,True,False,top,-1.5,#b65a85,#b65a85,o,66-t4ob-1h2o,-12.564937679384006
3,36,T4OB + H$_2$O // T4OB,False,True,True,top,-1.5,#b65a85,#b65a85,x,diffusion,-9.09857460462301
3,38,T4OB,False,True,False,top,-1.5,#b65a85,#b65a85,o,63-t4ob,-14.625051565623776
4,26,T3OB + H$_2$O,False,True,False,top,-1.5,#8000ff,#8000ff,o,61-t3ob-1h2o,-14.781928955713097
4,32,T3OB-H$_2$O-T4OB,True,True,True,bottom,1.5,#8000ff,#8000ff,o,62-ts-t3ob-1h2o-t4ob,12.512226876172456
4,38,T4OB,False,True,False,top,-1.5,#8000ff,#8000ff,o,63-t4ob,-14.625051565623776
5,38,T4OB,True,True,False,top,-1.5,black,black,o,63-t4ob,-14.625051565623776
5,40,T4OB // PDT,False,True,True,top,-1.5,black,black,x,diffusion,-11.158688490862781
5,42,PDT,True,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
