I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
99-l2pd2oh4,,00-lpdoh2,00-lpdoh2,-3501.266247,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
00-lpdoh2,naphboh2,01-rxt,,-2311.775302,True,diffusion-lpdoh2-rxt,5.144009620155655,0.0
01-rxt,,03-c1,,-2311.75265,True,02-ts-rxt-c1,14.21434655838477,3.4418899379433396
03-c1,,05-c2,,-2311.750763,True,04-ts-c1-c2,4.626000478031634,38.06347490431974
05-c2,h2o,09-c3,boh3,-2388.150489,True,07-ts-c2-c3,18.402345363197988,12.51756070724259
09-c3,,11-c4,,-2135.842969,True,10-ts-c3-c4,34.55130389580815,14.231916826026834
11-c4,,naphh-c,00-lpdoh2,-2135.865649,True,diffusion-c4-pdt,0.0,33.6511414316845
01-rxt,,13-t1,,-2311.755199,True,12-ts-rxt-t1,12.614824689189284,12.649965224473412
13-t1,,15-t2,,-2311.759903,True,14-ts-t1-t2,9.698160253187375,19.19426242834834
15-t2,h2o,19-t3,boh3,-2388.128053,True,17-ts-t2-t3,19.347374761228465,22.049430927460342
19-t3,,21-t4,,-2135.856645,True,20-ts-t3-t4,21.422548876875723,20.842730043260826
21-t4,,naphh-t,00-lpdoh2,-2135.88986,True,diffusion-t4-pdt,0.0,18.458507468732396
15-t2,,60-t3rh,,-2311.7564,True,59-ts-t2-t3rh,21.392428417775395,25.500105998796677
60-t3rh,,62-t3ob-rh,,-2311.790082,True,61-ts-t3rh-t3ob,4.3643289912918775,3.9451526052608514
64-t3ob-1h2o,,66-t4ob,,-2002.845802,True,65-ts-t3ob-1h2o-t4ob,27.294155831742874,27.137278441653553
67-t3ob-2h2o,,69-t4ob-1h2o,,-2079.219764,True,68-ts-t3ob-2h2o-t4ob,17.386407385397305,21.583191324174233
62-t3ob-rh,,60-t3ob,naphh-t,-2311.796369,True,diffusion-59-60,0.0,4.039906548687607
60-t3ob,h2o,64-t3ob-1h2o,,-2002.885049,True,diffusion-60-61,0.0,2.6662881214604433
64-t3ob-1h2o,h2o,67-t3ob-2h2o,,-2079.247471,True,diffusion-61-64,6.41377521510602,0.0
69-t4ob-1h2o,,66-t4ob,h2o,-2079.254159,True,diffusion-66-63,0.0,2.060113886239771
66-t4ob,,00-lpdoh2,boh3,-2002.889048,True,diffusion-63-pdt,0.0,10.342926326443072
