line,point,label_name,is_label,is_point,is_TS,vertical_alignment,vertical_offset,line_color,point_color,point_marker,structure,reference_gibbs
0,0,[LPd(OH)$_2$]$_2$,True,True,False,top,-1.5,black,black,o,00-lpdoh2,0.0
0,1,Pd-RXT,False,True,True,top,-1.5,black,black,x,diffusion,4.836216445064324
0,2,RXT,True,True,False,top,-1.5,black,black,o,01-rxt,1.3698533703033298
1,2,RXT,False,False,False,top,-1.5,#C04A1B,#C04A1B,o,01-rxt,1.3698533703033298
1,4,RXT-C1,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,02-ts-rxt-c1,21.073026051640287
1,6,C1,True,True,False,bottom,1.5,#C04A1B,#C04A1B,o,03-c1,13.721124044005581
1,8,C1-C2,True,True,True,bottom,1.5,#C04A1B,#C04A1B,o,04-ts-c1-c2,19.263915990000005
1,10,C2,True,True,False,top,-1.5,#C04A1B,#C04A1B,o,05-c2,-21.951539435455626
2,2,RXT,False,False,False,top,-1.5,#204195,#204195,o,01-rxt,1.3698533703033298
2,4,RXT-T1,True,True,True,top,-5.5,#204195,#204195,o,12-ts-rxt-t1,14.895194430870196
2,6,T1,True,True,False,top,-1.5,#204195,#204195,o,13-t1,1.0033877869131371
2,8,T1-T2,True,True,True,top,-5.5,#204195,#204195,o,14-ts-t1-t2,10.662642447892551
2,10,T2,True,True,False,top,-1.5,#204195,#204195,o,15-t2,-7.749115559041812
2,12,T2 // H$_2$O,False,True,True,top,-1.5,#204195,#204195,x,diffusion,7.4479112348513015
2,14,T2 + H$_2$O,True,True,False,bottom,2.5,#204195,#204195,o,16-t2-h2o,3.981548160090307
2,16,T2-T3,True,True,True,bottom,1.5,#204195,#204195,o,17-ts-t2-t3,23.03901350394061
2,18,T3 + B(OH)$_3$,True,True,False,top,-1.5,#204195,#204195,o,18-t3-boh3,5.49447370947937
2,20,T3 // B(OH)$_3$,False,True,True,top,-1.5,#204195,#204195,x,diffusion,8.960836784240364
2,22,T3,True,True,False,bottom,3.5,#204195,#204195,o,19-t3,-10.568516013382386
2,24,T3-T4,True,True,True,bottom,1.5,#204195,#204195,o,20-ts-t3-t4,10.560358389191338
2,26,T4,True,True,False,bottom,1.5,#204195,#204195,o,21-t4,-7.7459780113199255
2,28,T4-PDT,False,True,True,top,-1.5,#204195,#204195,x,diffusion,-4.27961493655893
2,30,PDT,True,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
3,10,T2,False,False,False,top,-1.5,#b65a85,#b65a85,o,15-t2,-7.749115559041812
3,12,T2-T3RH,True,True,True,bottom,1.5,#b65a85,#b65a85,o,56-ts-t2-t3rh,12.867083532763383
3,14,T3RH,True,True,False,top,-1.5,#b65a85,#b65a85,o,57-t3rh,-9.620976577402685
3,16,T3RH-T3OB,True,True,True,bottom,1.5,#b65a85,#b65a85,o,58-ts-t3rh-t3ob,-2.7095862806502597
3,18,T3OB + R-H,True,True,False,top,-1.5,#b65a85,#b65a85,o,59-t3ob-rh,-11.759529158401758
3,20,T3OB + R-H // T3OB,False,True,True,top,-1.5,#b65a85,#b65a85,x,diffusion,-8.293166083640763
3,22,T3OB,True,True,False,top,-1.5,#b65a85,#b65a85,o,60-t3ob,-13.047178775880518
3,24,T3OB // T3OB + H$_2$O,False,True,True,bottom,1.5,#b65a85,#b65a85,x,diffusion,-9.580815701119523
3,26,T3OB + H$_2$O,True,False,False,top,-1.5,#b65a85,#b65a85,o,61-t3ob-1h2o,-18.425563217367234
3,28,T3OB + H$_2$O // T3OB + 2H$_2$O,False,True,True,top,-1.5,#b65a85,#b65a85,x,diffusion,-8.645198947396135
3,30,T3OB + 2H$_2$O,True,True,False,top,-1.5,#b65a85,#b65a85,o,64-t3ob-2h2o,-12.11156202215713
3,32,T3OB-2H$_2$O-T4OB,True,True,True,top,-3.5,#b65a85,#b65a85,o,65-ts-t3ob-2h2o-t4ob,6.273213073684152
3,34,T4OB + H$_2$O,True,True,False,top,-1.5,#b65a85,#b65a85,o,66-t4ob-1h2o,-16.489696223311164
3,36,T4OB + H$_2$O // T4OB,False,True,True,top,-1.5,#b65a85,#b65a85,x,diffusion,-13.023333148550169
3,38,T4OB,False,True,False,top,-1.5,#b65a85,#b65a85,o,63-t4ob,-19.094488407881705
4,26,T3OB + H$_2$O,False,True,False,top,-1.5,#8000ff,#8000ff,o,61-t3ob-1h2o,-18.425563217367234
4,32,T3OB-H$_2$O-T4OB,True,True,True,bottom,1.5,#8000ff,#8000ff,o,62-ts-t3ob-1h2o-t4ob,8.183352175051038
4,38,T4OB,False,True,False,top,-1.5,#8000ff,#8000ff,o,63-t4ob,-19.094488407881705
5,38,T4OB,True,True,False,top,-1.5,black,black,o,63-t4ob,-19.094488407881705
5,40,T4OB // PDT,False,True,True,top,-1.5,black,black,x,diffusion,-15.62812533312071
5,42,PDT,True,True,False,top,-1.5,black,black,o,pdt,-24.967977891977675
